charge,mass,radius,x,y,z
1,22.99,1,0.2,0.2,0.2
-1,35.453,1,2.265,2.265,2.265
1,22.99,1,0.2,0.2,4.33
-1,35.453,1,2.265,2.265,6.3950000000000005
1,22.99,1,0.2,0.2,8.459999999999999
-1,35.453,1,2.265,2.265,10.524999999999999
1,22.99,1,0.2,0.2,12.59
-1,35.453,1,2.265,2.265,14.655
1,22.99,1,0.2,0.2,16.72
-1,35.453,1,2.265,2.265,18.785
1,22.99,1,0.2,0.2,20.849999999999998
-1,35.453,1,2.265,2.265,22.915
1,22.99,1,0.2,0.2,24.98
-1,35.453,1,2.265,2.265,27.044999999999998
1,22.99,1,0.2,0.2,29.11
-1,35.453,1,2.265,2.265,31.174999999999997
1,22.99,1,0.2,4.33,0.2
-1,35.453,1,2.265,6.3950000000000005,2.265
1,22.99,1,0.2,4.33,4.33
-1,35.453,1,2.265,6.3950000000000005,6.3950000000000005
1,22.99,1,0.2,4.33,8.459999999999999
-1,35.453,1,2.265,6.3950000000000005,10.524999999999999
1,22.99,1,0.2,4.33,12.59
-1,35.453,1,2.265,6.3950000000000005,14.655
1,22.99,1,0.2,4.33,16.72
-1,35.453,1,2.265,6.3950000000000005,18.785
1,22.99,1,0.2,4.33,20.849999999999998
-1,35.453,1,2.265,6.3950000000000005,22.915
1,22.99,1,0.2,4.33,24.98
-1,35.453,1,2.265,6.3950000000000005,27.044999999999998
1,22.99,1,0.2,4.33,29.11
-1,35.453,1,2.265,6.3950000000000005,31.174999999999997
1,22.99,1,0.2,8.459999999999999,0.2
-1,35.453,1,2.265,10.524999999999999,2.265
1,22.99,1,0.2,8.459999999999999,4.33
-1,35.453,1,2.265,10.524999999999999,6.3950000000000005
1,22.99,1,0.2,8.459999999999999,8.459999999999999
-1,35.453,1,2.265,10.524999999999999,10.524999999999999
1,22.99,1,0.2,8.459999999999999,12.59
-1,35.453,1,2.265,10.524999999999999,14.655
1,22.99,1,0.2,8.459999999999999,16.72
-1,35.453,1,2.265,10.524999999999999,18.785
1,22.99,1,0.2,8.459999999999999,20.849999999999998
-1,35.453,1,2.265,10.524999999999999,22.915
1,22.99,1,0.2,8.459999999999999,24.98
-1,35.453,1,2.265,10.524999999999999,27.044999999999998
1,22.99,1,0.2,8.459999999999999,29.11
-1,35.453,1,2.265,10.524999999999999,31.174999999999997
1,22.99,1,0.2,12.59,0.2
-1,35.453,1,2.265,14.655,2.265
1,22.99,1,0.2,12.59,4.33
-1,35.453,1,2.265,14.655,6.3950000000000005
1,22.99,1,0.2,12.59,8.459999999999999
-1,35.453,1,2.265,14.655,10.524999999999999
1,22.99,1,0.2,12.59,12.59
-1,35.453,1,2.265,14.655,14.655
1,22.99,1,0.2,12.59,16.72
-1,35.453,1,2.265,14.655,18.785
1,22.99,1,0.2,12.59,20.849999999999998
-1,35.453,1,2.265,14.655,22.915
1,22.99,1,0.2,12.59,24.98
-1,35.453,1,2.265,14.655,27.044999999999998
1,22.99,1,0.2,12.59,29.11
-1,35.453,1,2.265,14.655,31.174999999999997
1,22.99,1,0.2,16.72,0.2
-1,35.453,1,2.265,18.785,2.265
1,22.99,1,0.2,16.72,4.33
-1,35.453,1,2.265,18.785,6.3950000000000005
1,22.99,1,0.2,16.72,8.459999999999999
-1,35.453,1,2.265,18.785,10.524999999999999
1,22.99,1,0.2,16.72,12.59
-1,35.453,1,2.265,18.785,14.655
1,22.99,1,0.2,16.72,16.72
-1,35.453,1,2.265,18.785,18.785
1,22.99,1,0.2,16.72,20.849999999999998
-1,35.453,1,2.265,18.785,22.915
1,22.99,1,0.2,16.72,24.98
-1,35.453,1,2.265,18.785,27.044999999999998
1,22.99,1,0.2,16.72,29.11
-1,35.453,1,2.265,18.785,31.174999999999997
1,22.99,1,0.2,20.849999999999998,0.2
-1,35.453,1,2.265,22.915,2.265
1,22.99,1,0.2,20.849999999999998,4.33
-1,35.453,1,2.265,22.915,6.3950000000000005
1,22.99,1,0.2,20.849999999999998,8.459999999999999
-1,35.453,1,2.265,22.915,10.524999999999999
1,22.99,1,0.2,20.849999999999998,12.59
-1,35.453,1,2.265,22.915,14.655
