charge,mass,x,y,z,vx,vy,vz
1.0,22.99,16.334165694130252,16.94831986745928,15.983559964907341,0.0005751183949961,9.11225143957306e-05,6.0779453445352056e-05
-1.0,35.453,19.182858937379716,20.39453590069972,17.262759050569226,0.0003941579525172,-0.0002300442884291,-0.0001730762014008
1.0,22.99,21.346559668092766,16.28465447016542,15.59009085924049,-6.484881902690731e-06,-0.0004983499086951,-0.0002700090010207
-1.0,35.453,21.629814592757796,19.7022450458782,19.708412566258946,0.0001847041126184,-2.092713614880996e-05,-0.0001729185597211
1.0,22.99,23.484519434470386,17.4379176922031,14.6690521953252,0.0002832169189354,-0.0001722542354481,0.0004410273042577
-1.0,35.453,27.300892413587814,18.021872446565908,18.79401177698703,0.0002458309256049,-6.875073606711903e-05,-0.0002044299143669
1.0,22.99,26.93948011594409,15.129667616785929,12.870034940694964,-1.604913356184795e-05,0.0007378488558932,0.0002655989919236
-1.0,35.453,31.680103496632743,18.281394112764463,17.649630001416217,-0.0001669354684547,0.0001078491614627,-1.5254129583594131e-05
1.0,22.99,0.8000668100577899,16.959112633915375,17.21980715073168,0.0006712937698552,-0.000348582317091,-0.0007531679325059
-1.0,35.453,2.114278582902353,18.103230429279662,19.477467750669817,-0.0002602389162277,9.327081204449528e-05,0.0003869883251092
1.0,22.99,3.2721052494494107,14.59272265801551,15.940249313575976,-0.0002848476401355,-0.000219955809425,-0.0006549829235505
-1.0,35.453,5.864147428268817,20.677905511622487,19.143192088218946,0.0001167262335683,4.835467665578948e-05,-0.0001226904602384
1.0,22.99,7.6231343523328015,15.374064171957963,16.795218713400644,0.0002318090863454,-3.807065578141488e-06,-0.0002376217074695
-1.0,35.453,9.142064242140163,18.332119604354563,18.068058937675,6.575592723419571e-05,4.5169849541852685e-05,-0.0001370368483463
1.0,22.99,12.869372565289833,18.08260786625046,18.58717073766596,5.753219365887928e-05,-0.0002549370628991,-0.0001954173522074
-1.0,35.453,14.470944548758274,20.974264491093667,17.689699771515272,0.0002724161827857,7.637646131208454e-05,-3.560223148491524e-05
1.0,22.99,16.248797221053383,20.785427145191942,15.892208927429692,0.000330587629142,-0.0006808524582573,0.0004164925672475
-1.0,35.453,17.270943516032844,26.626359807694385,19.95863059633759,0.0001472716573709,0.0003168824575527,-0.0001252420693885
1.0,22.99,19.65703854605075,20.45199969206856,14.256151731156368,4.067190564348357e-05,0.0004730287033878,-0.000343405245511
-1.0,35.453,20.48921897747508,23.17496158925413,20.22282232867469,-0.0002383862801298,0.0003854006952922,-0.0003106778765401
1.0,22.99,21.934975458851557,20.37282669755981,17.48082577403654,0.0002898184085635,0.0001993308349687,-0.0006104533932495
-1.0,35.453,23.955640298698714,22.736213567489568,18.033081949637754,0.0001107023136333,9.308016822249154e-05,0.0003003131988935
1.0,22.99,28.99529132564508,19.05077811558744,17.681794440879763,-2.0286145462440943e-05,0.0001568129546081,-0.0005633286334104
-1.0,35.453,29.581305615078353,21.989854238012985,18.205731060051072,5.758473156161643e-05,9.168698212078668e-05,0.0004931856097351
1.0,22.99,32.852129729288556,20.314710087268292,17.30225569181697,0.000529227581768,-0.000261835635725,-2.573597324878289e-05
-1.0,35.453,1.2450079679895723,21.21286431260575,20.34634023493058,0.0002264900069083,-9.060576043533286e-05,-0.0001007270969723
1.0,22.99,3.3587499174720534,17.854545406016513,14.506464463158222,7.505880848714751e-05,-0.0001566524903591,9.167580942173018e-05
-1.0,35.453,6.748399949811117,23.731754678550146,17.731366264835337,1.3967126034463336e-05,-5.6234520578334255e-05,-1.4440334435083916e-05
1.0,22.99,6.929126467345991,20.656407071319478,16.713702887799737,0.0004241297639189,-0.0006283179092963,-0.0005173165295173
