charge,mass,x,y,z,vx,vy,vz
1,22.99,4.974460625660002,5.068564770115681,5.241049787006681,6.658789487236708e-05,8.830648266073753e-05,-0.0006135354298939
-1,35.453,6.980599574574224,6.133152016433967,4.806280595470201,-0.000316588675809,-0.0001982859256432,4.852512649241952e-05
