charge,mass,x,y,z,vx,vy,vz
1.0,22.99,7.958003240062388,8.793130730035278,5.766694226744017,0.0003546277631731,-0.0002617602593446,0.000232040164919
-1.0,35.453,13.030234980988334,10.58505978435671,10.933149317706857,-0.0001651364723502,-0.0001191059066641,0.0001825855371836
1.0,22.99,10.598094571633563,5.308610357289987,7.947540238949227,0.0001420069491021,8.196277870926906e-05,-0.0001504292033947
-1.0,35.453,15.017286197707605,6.817629339711901,11.214315748775862,-0.0001480806983536,0.0003607505058831,0.0004236535928803
1.0,22.99,15.825828625149951,7.330069157228868,8.770140267007713,0.000136836791508,0.0006712672831631,-6.51579629174415e-05
-1.0,35.453,3.9690176407240734,12.470179006044097,9.831107636958224,-7.763877865215666e-05,-1.5219089496491108e-05,0.000102361518604
1.0,22.99,4.069954091190723,8.407262296083276,7.442092647304521,1.3004450479469882e-05,0.0001257991438732,0.0001099040010417
-1.0,35.453,6.792180624476777,11.608145470562091,11.629296652964763,0.0003834035679654,-0.0001403367254367,0.0001887757997405
1.0,22.99,6.8999087789197295,12.547504189949686,7.969844555111016,-0.0001976980975558,0.0003832711701799,-0.0001301937275041
-1.0,35.453,10.616098170155114,13.258303512350812,11.816176648241182,0.0001365049616761,0.0001642023527555,-2.6693742768121e-05
1.0,22.99,12.052919171889938,13.90327272983831,9.611707922844088,-0.0006017560787528,-0.0001854016815113,-0.0004500369140408
-1.0,35.453,16.222623384281558,12.749798782332084,10.25578603997101,0.0002493310693922,-2.850740205552483e-06,0.0003341800639866
1.0,22.99,15.001429065505844,11.174317493414094,9.059111769267103,-0.0001127066746172,-2.7423347422996728e-05,-6.214041600290343e-06
-1.0,35.453,2.393179740582025,15.919375970194094,11.20911411662109,0.000301329742091,0.0003199274614149,0.0001849900803629
1.0,22.99,2.3834724690094835,13.061240484168376,7.49127128790106,3.307151708769117e-05,-0.0004170116928733,-0.0003248711253848
-1.0,35.453,5.826270319486072,15.785073550157495,8.47879444505285,-0.0004004871862756,-0.0003821404267025,-0.0001868695436505
1.0,22.99,7.680280725393386,1.548928277162455,7.098041733825242,-0.000425603249967,-0.0002127344176078,-0.0003387404776194
-1.0,35.453,11.039987435342853,3.8104462925624722,10.363818646335705,9.828113600135832e-05,-0.0003502057815921,0.0002742543959422
1.0,22.99,12.104602773162732,0.16695394119797932,7.339668299846937,0.0002547438159116,-0.0010230503787711,0.0004252576844588
-1.0,35.453,14.401258910519045,16.053247664445514,12.961540626346435,9.96984371672949e-05,-0.0001922534964957,0.0003857941234842
1.0,22.99,0.005135482217302494,15.474610213667049,11.47137460120723,0.0008102463522658,-9.132468978295528e-05,-0.0002338383140185
-1.0,35.453,2.350190729658111,3.076872700951347,11.662384281145256,3.55510453495732e-05,-0.0002892225317911,8.556770923249565e-05
1.0,22.99,4.79647282507964,1.42332057812748,9.345338451501204,7.14697172290433e-05,-0.0006488771343001,0.0006890339291664
-1.0,35.453,6.4466743573601075,3.289816761001405,8.474637935621386,-0.0001051419536798,2.3570519403842317e-05,6.229783659709279e-05
1.0,22.99,7.163838733977876,5.571884418893747,7.262471606571657,-0.000285576365637,1.5608190001868822e-05,-0.0001520059955084
-1.0,35.453,9.714036293669391,7.335167441880998,10.04921099890407,0.0004166466701419,-5.0628463677238454e-05,0.0001884856828718
1.0,22.99,13.136814361583781,4.691364213903141,9.895014907307488,-0.0003318237685157,-0.0006408946624032,-5.535804582666595e-05
-1.0,35.453,15.758748377001716,3.589821469535792,9.561131857997408,5.666757729923054e-05,-0.0005584423537767,0.000419893504676
1.0,22.99,0.40134082860962206,2.907923942700241,7.41495979259384,-0.0008787718663321,-9.897948744926056e-05,-0.0003743636992903
-1.0,35.453,3.1002420187413167,8.43781521408148,10.810190320123537,0.0002373870390822,-0.0001595167207344,0.0001404943985465
1.0,22.99,4.586654853723276,5.3885882970790355,4.119927550434248,-0.0002138454268822,-0.0005191255603456,-0.0005225548711009
-1.0,35.453,6.176761692113043,6.369645695557339,11.44663786788182,8.973489120517948e-05,0.0003540705604127,-4.905584720990119e-05
1.0,22.99,8.985794221221044,9.641937106530227,9.551852843157798,0.0001782995882994,-0.000168433790962,0.0002906104555265
-1.0,35.453,12.382657722498138,11.577271613709437,14.991384661942382,0.0001290986568363,2.1897721809931193e-05,4.897707095969638e-05
1.0,22.99,13.31393495963128,9.8000594104676,13.315771801522772,0.0004214160751438,0.0003429912979133,4.6940489569743145e-05
-1.0,35.453,15.464224636261134,9.516078352873658,13.812264866314312,-0.0002063790567594,-0.000264375833177,-0.0001515458308361
1.0,22.99,0.5005776550798684,8.605216078983153,12.430760302034136,0.0002444118366354,0.0001638884173652,2.5362543614549496e-05
-1.0,35.453,2.98957676444083,10.6037116132972,14.43995352095218,-0.0002608096698991,3.6043049704099886e-05,-0.0002026534840643
1.0,22.99,4.755655907923225,10.462494868561661,12.035333170319973,-0.0003582208514371,3.8297124056642776e-05,-0.0001452043418432
-1.0,35.453,8.842535666780295,9.01225254610622,13.856316908139721,0.0002748304404347,-0.0002427455866201,-8.46287032432019e-05
1.0,22.99,9.766395695699105,11.475394570853203,13.558725491443077,0.0002714163047011,0.0002219731267313,-8.335302140937673e-05
-1.0,35.453,9.363408019641257,1.6649436555692065,14.955701472018026,-0.0002373160611814,0.0002494246251606,0.0001190461204628
1.0,22.99,13.139826948288025,14.251344076282562,13.662541769329492,-0.0004379246356824,-0.0006735163662507,0.0002407840394269
-1.0,35.453,14.756613805317388,14.548248542423195,16.380185313734415,-1.2658125473817303e-05,0.0004147387161672,3.864687677232281e-05
1.0,22.99,1.5804322378035836,12.318629916208213,12.1244653434418,-7.117875202961942e-05,0.0002747452322748,-0.0002284478390404
-1.0,35.453,1.1327244153474898,13.977587402891976,13.898053486614483,-0.0003362224339096,0.0002206128644052,-0.0002730068252463
1.0,22.99,5.0639574753461245,14.494165916308077,11.344942636690766,0.000337223093327,-0.0003798332927966,0.0005664372635515
-1.0,35.453,4.979221080549486,15.29470526884359,13.814589505811806,0.0005119166472663,-0.0004906289734743,6.265166931591577e-05
1.0,22.99,8.466647197719862,15.681132575146721,10.579846682335207,-0.0001643207826823,0.0001746067761781,0.0001922983868538
-1.0,35.453,6.977830644865355,2.0220538981877274,12.01755865868078,-0.0002128107882472,7.100077496467261e-05,-0.0001790227053831
1.0,22.99,10.687431559397497,2.346553073080393,12.750135011461865,-0.0004224995246652,-0.0001227112633394,0.0003760728135677
-1.0,35.453,13.293061209766993,4.822410600204239,12.76842930641911,5.867329716443348e-05,-0.0001947572485429,-0.0001651431435583
1.0,22.99,16.116714203506035,1.105873180797439,14.016291227963123,-0.0001130160584778,-4.242540817845952e-05,-0.0001891894831626
-1.0,35.453,2.2033011952771098,1.20662122884052,15.339498663144216,0.0001643112822485,-0.0002813979752845,0.0001211567626725
1.0,22.99,3.8591234537333214,1.8318701049967747,13.360669680194356,-5.153563236256262e-05,0.00048107843081,-6.862030709651634e-05
-1.0,35.453,5.897717658805392,1.5468794523407856,0.2122781485186142,-0.0001176691359764,-0.0003981754233876,-0.0001845592391165
1.0,22.99,7.743439155868716,4.375814912237647,11.614731790912384,0.0004044583544496,5.3629035590600736e-05,-0.0001898027544677
-1.0,35.453,9.646155668678567,5.484643415947361,14.197232601917392,7.743376059527313e-05,-0.0001513210401676,-0.0002587171437033
1.0,22.99,11.475255860120495,6.400588986555805,12.116293602425209,-0.000117788916683,0.0004736211733871,0.0002416440987904
-1.0,35.453,13.303206949327624,7.238832511176337,16.222171922377417,-3.52208742097521e-05,0.0005436141654525,-0.0003145602347928
1.0,22.99,15.827537905684038,4.648131772404828,11.797045952609208,-0.0003172297720199,-0.0004712792147674,0.0003797028145416
-1.0,35.453,1.2862773814877053,7.237678459685384,15.46972897458089,0.0001235031737867,0.0002628565606596,0.0002480589019849
1.0,22.99,3.8612155316698122,5.423012225679241,10.857412648067054,0.0001119925332194,0.0003649830646746,-0.0005701764388358
-1.0,35.453,5.485269936615593,5.1511184727910555,14.764297967364298,-9.64553870625222e-05,-0.0001284598446901,-0.0005335410013812
1.0,22.99,7.877133159300288,7.2069488119803635,12.869980362424283,0.0003034761959678,-0.0002737268688249,-8.18578908924211e-05
-1.0,35.453,9.790445574697038,11.817973590347409,1.5246800347354976,9.097873012377074e-05,-0.0002254470260233,-0.0002274867552228
1.0,22.99,11.424899698485234,6.055446181535141,0.15853488570074742,-3.025243355049185e-05,0.0002150714100927,0.0002222796784066
-1.0,35.453,0.8959029296512769,9.451652340409098,2.5528310947507356,-0.0001145922147082,0.0001601367805131,-0.0005541746211962
1.0,22.99,15.815367248550046,8.159520716750214,0.35787026726402354,3.341184905772593e-05,-0.0001307040139898,-0.0005075450282866
-1.0,35.453,4.42661820828222,9.129865740521511,0.518153646570673,-4.948804260327072e-06,0.000264033463328,-0.0003961497116444
1.0,22.99,3.991743097941965,7.4746255870317055,14.817601940601792,0.0003833388658122,0.0007046036914943,0.000342478464442
-1.0,35.453,7.5000557584694425,10.720941990927505,4.288796939062005,-5.634705579116647e-05,2.030012227381388e-05,-0.000166039274539
1.0,22.99,7.102694536221368,10.818593239622206,0.3746583212526183,-0.0003256234115356,-0.0002065056355274,-0.0001240721918683
-1.0,35.453,11.106012247302033,0.26733105212163144,2.596691673559264,0.00036987728805,3.5958906722174404e-05,-0.0002160540214307
1.0,22.99,12.79664558931444,11.80938485126902,1.4123352415932464,0.000301413377531,0.00047779375559,0.0004505206659536
-1.0,35.453,13.37894671315607,12.472033764968744,3.8591341367518943,8.867917321190923e-05,0.0002083890795829,-1.6911428927130645e-06
1.0,22.99,15.832971713466257,11.958608444647792,15.284678669632044,0.0002231980379476,0.000586657374813,-0.0004746861306735
-1.0,35.453,1.1862125606389358,13.395564904710799,0.6106545597186444,4.346455772932699e-05,-0.0007471438883626,-0.0002068605168936
1.0,22.99,3.4289908688553297,12.053168445153572,0.27140389790165825,-0.0001938224196101,-0.000253894227376,3.0907356071916895e-06
-1.0,35.453,6.041268045956388,13.07167299021099,1.271046505689231,9.694117460304736e-05,7.719875691120827e-05,-7.624041472309831e-06
1.0,22.99,6.989805261286017,0.44388099874476067,13.93940283548909,0.0004966631535177,-0.000143433609692,-0.0003374067592679
-1.0,35.453,12.327877015905996,3.9911987538790954,1.5525970755798741,-0.0001076280276178,-4.9623060511967184e-05,-5.409685083399148e-05
1.0,22.99,10.841370280113338,1.1756221578805015,0.48065122398806703,0.0003016114165738,0.0002736841936617,0.0001527923404062
-1.0,35.453,14.756968394042058,1.9402538066708006,16.370740284838302,-0.0001184080964029,0.000156568704623,-0.0002068374981678
1.0,22.99,0.4480912483735951,15.746197770288903,0.2840784380543493,-0.000263349653749,0.0006504100659917,0.0004785274757471
-1.0,35.453,1.1247283885916834,0.8351400034714116,2.4221094292727323,8.46337160612206e-05,-0.0004135193689947,-0.0001299760410454
1.0,22.99,3.0787209516332155,14.815722232346765,15.005526874328174,-0.0001430432396438,0.0001091434208994,-0.0005325711270948
-1.0,35.453,8.841864824752452,2.8577693883851154,2.1851739713272957,-2.6983162308222e-05,9.66154504274632e-05,-0.0001100248823324
1.0,22.99,7.899481965034285,3.8937443077264478,15.879965127300576,-0.0001603653970265,-0.0004369544756014,-0.000590435715224
-1.0,35.453,12.413165255455226,8.576196089051395,3.4397515980796376,-0.0003975521332086,-0.0004003998542506,2.897361530325594e-06
1.0,22.99,14.278025580706922,4.443900674649901,15.367365221169456,0.0005626646530345,-0.0003444408095675,0.0003941571230516
-1.0,35.453,16.258242799562577,5.005698361411901,2.1977313014460496,9.945116033297154e-05,-0.0001968778970729,4.109586249276492e-05
1.0,22.99,1.0641488391310605,3.4142889063946162,1.0494094089837702,-0.0001190432640034,-0.0004411282309263,-2.595952093325835e-06
-1.0,35.453,3.386689403945486,4.42602705421082,2.294682810629154,-0.0001765824281466,-0.0003212905916948,-0.0002951981341257
1.0,22.99,3.870466611499102,1.6932440608657213,1.32579242511478,-0.0001200377034645,0.0003173794886538,-0.0002101515241787
-1.0,35.453,9.280378965220587,6.540437238434963,1.851752458535261,-0.0003292991150433,0.000317426145354,8.831347971158436e-06
1.0,22.99,10.369638591651285,9.35900132447213,2.023695549589882,0.000440024459921,-0.000300065818604,-0.0005563029158557
-1.0,35.453,9.020181218680825,11.669142673270612,7.399723593749813,-1.4221721452124744e-05,0.0002916192268918,-9.51169353906034e-06
1.0,22.99,12.845087752211718,5.123855178192956,4.1865304469153255,-0.0003357093662619,5.1896560759009417e-05,0.0001683872680981
-1.0,35.453,16.1725536388107,8.8086697249274,6.589206526362734,0.0003047888308965,0.0001899050727638,0.000406146411676
1.0,22.99,0.12458387075140526,6.896235096135831,3.895520527099362,0.000290057547323,-7.488317589612227e-05,0.0001428518268599
-1.0,35.453,2.762538791813923,11.29407766932393,4.830390233211347,-5.040662077056219e-06,-9.852829869536072e-05,-0.0002105480461598
1.0,22.99,4.96302030754119,10.745526985219604,4.599702526223241,-9.254525896959824e-05,-0.0003745853560768,0.0002221382675792
-1.0,35.453,5.594233733589347,10.480703906015469,6.976316174283145,-0.0002237343024216,0.0002248389205157,-0.0004277987968846
1.0,22.99,7.755264000800948,12.972743291184106,3.2574701477219032,-0.0006235520965825,0.0003257932147048,-0.0003304137714643
-1.0,35.453,11.174832629033643,16.193921062830302,9.709334197863575,2.787284259453507e-05,0.0004209222335849,0.0003125584566425
1.0,22.99,11.29433670961329,11.759354713624473,6.072989814807226,-0.000202227742885,1.7899346403423354e-05,0.0002237634401966
-1.0,35.453,12.01193053018122,13.997541407276923,7.3311711079677275,-0.0005425294634945,0.0001298612619446,-5.075190479089666e-05
1.0,22.99,0.27945530405113167,11.22743928103492,4.6992306399785155,-6.360664617418649e-05,-0.0004847930312301,-0.0001512360230295
-1.0,35.453,0.9467014163652923,13.94101607189253,5.574935515116025,0.0001842747739282,0.0001918736240607,0.0001237641003167
1.0,22.99,1.8446864224670267,13.422698073538367,3.2103813029905566,-0.0002222598332512,-0.000196096968282,0.0003589250833261
-1.0,35.453,6.2400725071872785,14.785815339042015,5.127568280126858,0.0003844576323556,-0.0002770292643039,-2.713906486552719e-05
1.0,22.99,7.641673685761456,0.5522975012565146,2.3177899816276195,6.992211228886154e-05,-0.0001229540151677,0.0003647394162531
-1.0,35.453,10.04748376588888,1.7685767026460693,6.571727722543138,0.0002334725429183,0.0002366809153802,-3.6297431581100496e-05
1.0,22.99,12.01371640053922,14.96846907520499,3.8978474751172376,0.0003687787720293,-8.700927498137695e-05,0.000378686396623
-1.0,35.453,14.314084830714048,1.2098181260527796,4.563609203102315,0.0001295565853697,-6.48759058151524e-05,-3.9576368092199674e-05
1.0,22.99,0.181533515304837,0.42961330181068647,4.839056213980113,0.0002642309700056,0.0001134182444495,0.0005123181768567
-1.0,35.453,2.1962282419230426,1.085427051610503,6.958617298193976,0.0001497180511418,0.0004528111424555,0.000314123352976
