charge,mass,radius,x,y,z
1,22.99,1,0.2,0.2,0.2
-1,35.453,1,2.1260000000000003,2.1260000000000003,2.1260000000000003
1,22.99,1,0.2,0.2,4.0520000000000005
-1,35.453,1,2.1260000000000003,2.1260000000000003,5.978000000000001
1,22.99,1,0.2,0.2,7.904000000000001
-1,35.453,1,2.1260000000000003,2.1260000000000003,9.83
1,22.99,1,0.2,0.2,11.756
-1,35.453,1,2.1260000000000003,2.1260000000000003,13.682
1,22.99,1,0.2,0.2,15.608
-1,35.453,1,2.1260000000000003,2.1260000000000003,17.534000000000002
1,22.99,1,0.2,4.0520000000000005,0.2
-1,35.453,1,2.1260000000000003,5.978000000000001,2.1260000000000003
1,22.99,1,0.2,4.0520000000000005,4.0520000000000005
-1,35.453,1,2.1260000000000003,5.978000000000001,5.978000000000001
1,22.99,1,0.2,4.0520000000000005,7.904000000000001
-1,35.453,1,2.1260000000000003,5.978000000000001,9.83
1,22.99,1,0.2,4.0520000000000005,11.756
-1,35.453,1,2.1260000000000003,5.978000000000001,13.682
1,22.99,1,0.2,4.0520000000000005,15.608
-1,35.453,1,2.1260000000000003,5.978000000000001,17.534000000000002
1,22.99,1,0.2,7.904000000000001,0.2
-1,35.453,1,2.1260000000000003,9.83,2.1260000000000003
1,22.99,1,0.2,7.904000000000001,4.0520000000000005
-1,35.453,1,2.1260000000000003,9.83,5.978000000000001
1,22.99,1,0.2,7.904000000000001,7.904000000000001
-1,35.453,1,2.1260000000000003,9.83,9.83
1,22.99,1,0.2,7.904000000000001,11.756
-1,35.453,1,2.1260000000000003,9.83,13.682
1,22.99,1,0.2,7.904000000000001,15.608
-1,35.453,1,2.1260000000000003,9.83,17.534000000000002
1,22.99,1,0.2,11.756,0.2
-1,35.453,1,2.1260000000000003,13.682,2.1260000000000003
1,22.99,1,0.2,11.756,4.0520000000000005
-1,35.453,1,2.1260000000000003,13.682,5.978000000000001
1,22.99,1,0.2,11.756,7.904000000000001
-1,35.453,1,2.1260000000000003,13.682,9.83
1,22.99,1,0.2,11.756,11.756
-1,35.453,1,2.1260000000000003,13.682,13.682
1,22.99,1,0.2,11.756,15.608
-1,35.453,1,2.1260000000000003,13.682,17.534000000000002
1,22.99,1,0.2,15.608,0.2
-1,35.453,1,2.1260000000000003,17.534000000000002,2.1260000000000003
1,22.99,1,0.2,15.608,4.0520000000000005
-1,35.453,1,2.1260000000000003,17.534000000000002,5.978000000000001
1,22.99,1,0.2,15.608,7.904000000000001
-1,35.453,1,2.1260000000000003,17.534000000000002,9.83
1,22.99,1,0.2,15.608,11.756
-1,35.453,1,2.1260000000000003,17.534000000000002,13.682
1,22.99,1,0.2,15.608,15.608
-1,35.453,1,2.1260000000000003,17.534000000000002,17.534000000000002
1,22.99,1,4.0520000000000005,0.2,0.2
-1,35.453,1,5.978000000000001,2.1260000000000003,2.1260000000000003
1,22.99,1,4.0520000000000005,0.2,4.0520000000000005
-1,35.453,1,5.978000000000001,2.1260000000000003,5.978000000000001
1,22.99,1,4.0520000000000005,0.2,7.904000000000001
-1,35.453,1,5.978000000000001,2.1260000000000003,9.83
1,22.99,1,4.0520000000000005,0.2,11.756
-1,35.453,1,5.978000000000001,2.1260000000000003,13.682
1,22.99,1,4.0520000000000005,0.2,15.608
-1,35.453,1,5.978000000000001,2.1260000000000003,17.534000000000002
1,22.99,1,4.0520000000000005,4.0520000000000005,0.2
-1,35.453,1,5.978000000000001,5.978000000000001,2.1260000000000003
1,22.99,1,4.0520000000000005,4.0520000000000005,4.0520000000000005
-1,35.453,1,5.978000000000001,5.978000000000001,5.978000000000001
1,22.99,1,4.0520000000000005,4.0520000000000005,7.904000000000001
-1,35.453,1,5.978000000000001,5.978000000000001,9.83
1,22.99,1,4.0520000000000005,4.0520000000000005,11.756
-1,35.453,1,5.978000000000001,5.978000000000001,13.682
1,22.99,1,4.0520000000000005,4.0520000000000005,15.608
-1,35.453,1,5.978000000000001,5.978000000000001,17.534000000000002
1,22.99,1,4.0520000000000005,7.904000000000001,0.2
-1,35.453,1,5.978000000000001,9.83,2.1260000000000003
1,22.99,1,4.0520000000000005,7.904000000000001,4.0520000000000005
-1,35.453,1,5.978000000000001,9.83,5.978000000000001
1,22.99,1,4.0520000000000005,7.904000000000001,7.904000000000001
-1,35.453,1,5.978000000000001,9.83,9.83
1,22.99,1,4.0520000000000005,7.904000000000001,11.756
-1,35.453,1,5.978000000000001,9.83,13.682
1,22.99,1,4.0520000000000005,7.904000000000001,15.608
-1,35.453,1,5.978000000000001,9.83,17.534000000000002
1,22.99,1,4.0520000000000005,11.756,0.2
-1,35.453,1,5.978000000000001,13.682,2.1260000000000003
1,22.99,1,4.0520000000000005,11.756,4.0520000000000005
-1,35.453,1,5.978000000000001,13.682,5.978000000000001
1,22.99,1,4.0520000000000005,11.756,7.904000000000001
-1,35.453,1,5.978000000000001,13.682,9.83
1,22.99,1,4.0520000000000005,11.756,11.756
-1,35.453,1,5.978000000000001,13.682,13.682
1,22.99,1,4.0520000000000005,11.756,15.608
-1,35.453,1,5.978000000000001,13.682,17.534000000000002
1,22.99,1,4.0520000000000005,15.608,0.2
-1,35.453,1,5.978000000000001,17.534000000000002,2.1260000000000003
1,22.99,1,4.0520000000000005,15.608,4.0520000000000005
-1,35.453,1,5.978000000000001,17.534000000000002,5.978000000000001
1,22.99,1,4.0520000000000005,15.608,7.904000000000001
-1,35.453,1,5.978000000000001,17.534000000000002,9.83
1,22.99,1,4.0520000000000005,15.608,11.756
-1,35.453,1,5.978000000000001,17.534000000000002,13.682
1,22.99,1,4.0520000000000005,15.608,15.608
-1,35.453,1,5.978000000000001,17.534000000000002,17.534000000000002
1,22.99,1,7.904000000000001,0.2,0.2
-1,35.453,1,9.83,2.1260000000000003,2.1260000000000003
1,22.99,1,7.904000000000001,0.2,4.0520000000000005
-1,35.453,1,9.83,2.1260000000000003,5.978000000000001
1,22.99,1,7.904000000000001,0.2,7.904000000000001
-1,35.453,1,9.83,2.1260000000000003,9.83
1,22.99,1,7.904000000000001,0.2,11.756
-1,35.453,1,9.83,2.1260000000000003,13.682
1,22.99,1,7.904000000000001,0.2,15.608
-1,35.453,1,9.83,2.1260000000000003,17.534000000000002
1,22.99,1,7.904000000000001,4.0520000000000005,0.2
-1,35.453,1,9.83,5.978000000000001,2.1260000000000003
1,22.99,1,7.904000000000001,4.0520000000000005,4.0520000000000005
-1,35.453,1,9.83,5.978000000000001,5.978000000000001
1,22.99,1,7.904000000000001,4.0520000000000005,7.904000000000001
-1,35.453,1,9.83,5.978000000000001,9.83
1,22.99,1,7.904000000000001,4.0520000000000005,11.756
-1,35.453,1,9.83,5.978000000000001,13.682
1,22.99,1,7.904000000000001,4.0520000000000005,15.608
-1,35.453,1,9.83,5.978000000000001,17.534000000000002
1,22.99,1,7.904000000000001,7.904000000000001,0.2
-1,35.453,1,9.83,9.83,2.1260000000000003
1,22.99,1,7.904000000000001,7.904000000000001,4.0520000000000005
-1,35.453,1,9.83,9.83,5.978000000000001
1,22.99,1,7.904000000000001,7.904000000000001,7.904000000000001
-1,35.453,1,9.83,9.83,9.83
1,22.99,1,7.904000000000001,7.904000000000001,11.756
-1,35.453,1,9.83,9.83,13.682
1,22.99,1,7.904000000000001,7.904000000000001,15.608
-1,35.453,1,9.83,9.83,17.534000000000002
1,22.99,1,7.904000000000001,11.756,0.2
-1,35.453,1,9.83,13.682,2.1260000000000003
1,22.99,1,7.904000000000001,11.756,4.0520000000000005
-1,35.453,1,9.83,13.682,5.978000000000001
1,22.99,1,7.904000000000001,11.756,7.904000000000001
-1,35.453,1,9.83,13.682,9.83
1,22.99,1,7.904000000000001,11.756,11.756
-1,35.453,1,9.83,13.682,13.682
1,22.99,1,7.904000000000001,11.756,15.608
-1,35.453,1,9.83,13.682,17.534000000000002
1,22.99,1,7.904000000000001,15.608,0.2
-1,35.453,1,9.83,17.534000000000002,2.1260000000000003
1,22.99,1,7.904000000000001,15.608,4.0520000000000005
-1,35.453,1,9.83,17.534000000000002,5.978000000000001
1,22.99,1,7.904000000000001,15.608,7.904000000000001
-1,35.453,1,9.83,17.534000000000002,9.83
1,22.99,1,7.904000000000001,15.608,11.756
-1,35.453,1,9.83,17.534000000000002,13.682
1,22.99,1,7.904000000000001,15.608,15.608
-1,35.453,1,9.83,17.534000000000002,17.534000000000002
1,22.99,1,11.756,0.2,0.2
-1,35.453,1,13.682,2.1260000000000003,2.1260000000000003
1,22.99,1,11.756,0.2,4.0520000000000005
-1,35.453,1,13.682,2.1260000000000003,5.978000000000001
1,22.99,1,11.756,0.2,7.904000000000001
-1,35.453,1,13.682,2.1260000000000003,9.83
1,22.99,1,11.756,0.2,11.756
-1,35.453,1,13.682,2.1260000000000003,13.682
1,22.99,1,11.756,0.2,15.608
-1,35.453,1,13.682,2.1260000000000003,17.534000000000002
1,22.99,1,11.756,4.0520000000000005,0.2
-1,35.453,1,13.682,5.978000000000001,2.1260000000000003
1,22.99,1,11.756,4.0520000000000005,4.0520000000000005
-1,35.453,1,13.682,5.978000000000001,5.978000000000001
1,22.99,1,11.756,4.0520000000000005,7.904000000000001
-1,35.453,1,13.682,5.978000000000001,9.83
1,22.99,1,11.756,4.0520000000000005,11.756
-1,35.453,1,13.682,5.978000000000001,13.682
1,22.99,1,11.756,4.0520000000000005,15.608
-1,35.453,1,13.682,5.978000000000001,17.534000000000002
1,22.99,1,11.756,7.904000000000001,0.2
-1,35.453,1,13.682,9.83,2.1260000000000003
1,22.99,1,11.756,7.904000000000001,4.0520000000000005
-1,35.453,1,13.682,9.83,5.978000000000001
1,22.99,1,11.756,7.904000000000001,7.904000000000001
-1,35.453,1,13.682,9.83,9.83
1,22.99,1,11.756,7.904000000000001,11.756
-1,35.453,1,13.682,9.83,13.682
1,22.99,1,11.756,7.904000000000001,15.608
-1,35.453,1,13.682,9.83,17.534000000000002
1,22.99,1,11.756,11.756,0.2
-1,35.453,1,13.682,13.682,2.1260000000000003
1,22.99,1,11.756,11.756,4.0520000000000005
-1,35.453,1,13.682,13.682,5.978000000000001
1,22.99,1,11.756,11.756,7.904000000000001
-1,35.453,1,13.682,13.682,9.83
1,22.99,1,11.756,11.756,11.756
-1,35.453,1,13.682,13.682,13.682
1,22.99,1,11.756,11.756,15.608
-1,35.453,1,13.682,13.682,17.534000000000002
1,22.99,1,11.756,15.608,0.2
-1,35.453,1,13.682,17.534000000000002,2.1260000000000003
1,22.99,1,11.756,15.608,4.0520000000000005
-1,35.453,1,13.682,17.534000000000002,5.978000000000001
1,22.99,1,11.756,15.608,7.904000000000001
-1,35.453,1,13.682,17.534000000000002,9.83
1,22.99,1,11.756,15.608,11.756
-1,35.453,1,13.682,17.534000000000002,13.682
1,22.99,1,11.756,15.608,15.608
-1,35.453,1,13.682,17.534000000000002,17.534000000000002
1,22.99,1,15.608,0.2,0.2
-1,35.453,1,17.534000000000002,2.1260000000000003,2.1260000000000003
1,22.99,1,15.608,0.2,4.0520000000000005
-1,35.453,1,17.534000000000002,2.1260000000000003,5.978000000000001
1,22.99,1,15.608,0.2,7.904000000000001
-1,35.453,1,17.534000000000002,2.1260000000000003,9.83
1,22.99,1,15.608,0.2,11.756
-1,35.453,1,17.534000000000002,2.1260000000000003,13.682
1,22.99,1,15.608,0.2,15.608
-1,35.453,1,17.534000000000002,2.1260000000000003,17.534000000000002
1,22.99,1,15.608,4.0520000000000005,0.2
-1,35.453,1,17.534000000000002,5.978000000000001,2.1260000000000003
1,22.99,1,15.608,4.0520000000000005,4.0520000000000005
-1,35.453,1,17.534000000000002,5.978000000000001,5.978000000000001
1,22.99,1,15.608,4.0520000000000005,7.904000000000001
-1,35.453,1,17.534000000000002,5.978000000000001,9.83
