charge,iter,particle,x,y,z,vx,vy,vz,fx,fy,fz
1,0,0,1.5451375313070648,1.5536076199240556,1.5585099758371523,-0.00021653657335369406,0.00019505469287695674,0.0004321900590190427,0.0053399178455985075,-8.677875257151468e-05,-0.00027212272911331103
-1,0,1,5.421367564308163,1.5497755584855302,1.546492631167169,-0.00010199683437555177,9.695835620407556e-06,-0.0001490953216391444,-0.005339920585325952,8.677630921349877e-05,0.0002721196112457358
1,1,0,1.5428901202381573,1.55562348260086,1.5629765120155614,-0.00021834429813551176,0.00019503177417520395,0.0004321181919816467,0.005253995949076273,-0.00013022945009444342,-0.0004083662448884917
-1,1,1,5.420322823241413,1.5498758628154083,1.5449519762915982,-0.00010018911029703309,9.718753786039466e-06,-0.0001490234553110727,-0.005253998912887914,0.00013022754567687533,0.00040836361035406776
1,2,0,1.5406242047346506,1.5576390606182555,1.5674421555869709,-0.00022011670227842914,0.00019499957407724492,0.0004320172240901838,0.0051653190721138165,-0.00017371140227268045,-0.0005446980693281644
-1,2,1,5.419296586601709,1.549976451799841,1.543412214016312,-9.841670682215338e-05,9.750953579170084e-06,-0.00014892248794324365,-0.005165321525882449,0.00017371083462552894,0.0005446964573523339
1,3,0,1.5383401568550565,1.5596542576969243,1.571906604689732,-0.00022185244677857516,0.00019495802410810355,0.0004318869422295036,0.005073945272661473,-0.00021721395383889064,-0.0006810910438534712
-1,3,1,5.418288482331836,1.5500774217215536,1.5418736462055653,-9.668096147473043e-05,9.792503640619363e-06,-0.00014879220576002118,-0.005073935947737196,0.0002172152700747887,0.0006810952715480822
1,4,0,1.5360383623208522,1.5616689768479268,1.576369555245621,-0.00022355024213275697,0.00019490705382276536,0.0004317271255545236,0.004979814034680952,-0.0002607399247022135,-0.0008175603415769284
-1,4,1,5.417298124740343,1.5501788695742875,1.5403365769524668,-9.498316446594844e-05,9.843474254793986e-06,-0.0001486323882057441,-0.00497980994130609,0.000260741275228904,0.0008175632447114944
1,5,0,1.5337192198454663,1.563683120335798,1.5808307008279694,-0.00022520892719227404,0.0001948465962066329,0.0004315375939079783,0.004882356520536669,-0.00030423586924820177,-0.0009536893045856212
-1,5,1,5.416325115100465,1.550280893093595,1.5388013126803086,-9.332447901081005e-05,9.903932008110816e-06,-0.00014844285634023653,-0.004882357405544102,0.0003042356312446537,0.0009536881771678996
1,6,0,1.5313831391521164,1.5656965897863606,1.5852897336345788,-0.00022682768623812557,0.00019477659821664177,0.00043131831268290846,0.004779763031429101,-0.0003476201615688878,-0.0010886459664590092
-1,6,1,5.415369043676295,1.5503835906496042,1.5372681611810157,-9.170572009499155e-05,9.973929905043717e-06,-0.00014822357514196504,-0.004779763200949638,0.0003476196448986557,0.0010886468765504698
1,7,0,1.5290305358157033,1.5677092863677133,1.5897463465234318,-0.00022840563615755336,0.00019469700506497293,0.00043106920996957007,0.004674820824386247,-0.0003909678726111156,-0.0012234998980560075
-1,7,1,5.414429494894756,1.5504870610735066,1.535737429601799,-9.01277701541492e-05,1.0053522959447858e-05,-0.00014797447231512857,-0.004674820481200381,0.00039096760049434076,0.0012234999083990394
1,8,0,1.5266618378139918,1.5697211105731772,1.594200230205906,-0.00022994159798045497,0.00019460775031737015,0.00043079007409384885,0.004567581330616469,-0.00043427876583985786,-0.0013582534921024458
-1,8,1,5.41350604077939,1.5505914038726043,1.5342094272289875,-8.859180806045323e-05,1.0142777737472133e-05,-0.00014769533617249066,-0.004567579477743555,0.00043427928466549526,0.0013582556463718198
1,9,0,1.524277485092004,1.5717319621976087,1.5986510731645343,-0.00023143442909783244,0.00019450876664289126,0.00043048069031258776,0.004458147836946548,-0.0004775418581532576,-0.0014928712807474875
-1,9,1,5.412598241389023,1.5506967192540568,1.5326844655855127,-8.709897658667574e-05,1.0241761437454966e-05,-0.00014738595226726587,-0.004458146799524831,0.0004775415461567012,0.0014928701317858395
1,10,0,1.5218779292460176,1.573741740342552,1.6030985616718059,-0.00023288302250566291,0.00019439998712105557,0.0004301408446784517,0.0043465874578824774,-0.0005207474612592979,-0.0016273279125871842
-1,10,1,5.4117056451252985,1.5508031081142022,1.5311628583904662,-8.565038297852584e-05,1.035054095665942e-05,-0.0001470461070520037,-0.004346586870775049,0.0005207477519174053,0.0016273256646107126
1,11,0,1.519463633103588,1.5757503434195717,1.6075423797878157,-0.00023428632181523586,0.00019428134413583808,0.000429770321502501,0.004232890640049437,-0.0005638947332838641,-0.0017616121684190245
-1,11,1,5.410827789159514,1.5509106720430121,1.5296449215809518,-8.424708373396621e-05,1.046918392270311e-05,-0.00014667558390572797,-0.004232891754394785,0.0005638942871322161,0.0017616141757404447
1,12,0,1.5170350700972726,1.5777576691325423,1.611982209326614,-0.00023564330792829298,0.00019415277092767286,0.0004293689064528597,0.004117240675846637,-0.000606962590959666,-0.0018956772993333204
-1,12,1,5.409964200054775,1.5510195133347338,1.5281309733537651,-8.289009785763053e-05,1.059775710885625e-05,-0.00014627416842060554,-0.004117241481239375,0.0006069628586001241,0.0018956788236303979
1,13,0,1.5145927241200876,1.5797636145130622,1.616417729917909,-0.0002369529874430611,0.00019401419950906585,0.0004289363801472624,0.003999729483714104,-0.0006499683047663864,-0.0020295678345155777
-1,13,1,5.409114393918853,1.5511297349595885,1.526621334077967,-8.158041852300739e-05,1.073632861630382e-05,-0.00014584164183238492,-0.003999730139241819,0.0006499687575953483,0.002029568602206544
