charge,iter,particle,x,y,z,vx,vy,vz,fx_elec,fy_elec,fz_elec
1.0,0,0,17.436487838094017,21.88538092365509,17.91996719859945,-0.00023891040799310805,0.00014728149378425207,0.0001937722947242191,-0.004539432499981372,-0.019995042684717957,-0.005518297260236331
-1.0,0,1,24.964061885073257,26.325488565961944,23.147460616257792,0.00045656120917663247,-7.47101371906443e-05,-0.0002997888615341146,0.014038342056326536,0.010296053658335816,0.0058794120220901636
1.0,0,2,25.914976136421505,20.563784852430647,19.54600149686703,-5.768677477396842e-06,-0.0002946660415203745,-0.00021190088261065942,0.0019098872255812489,-0.0020145147441471695,0.0017312870997583663
-1.0,0,3,33.28541528463141,25.76523288827321,21.591540898178163,0.00024892196150496656,0.00029592960074786216,-3.369279758136134e-05,-0.008513371283117549,0.004688836280796457,0.0023442012125393062
1.0,0,4,34.211717558881006,20.733991226093114,19.93744895663726,0.0003439273878767922,-0.00018576274248504536,0.000453807569950061,0.019776021900060142,0.0025859427563794113,0.010895221485954065
-1.0,0,5,3.241001248159434,21.710869088893404,24.70378179166356,0.0001052201125797899,5.756564738627663e-05,-0.00013139803857366875,0.004842817711315561,-0.006696644222054695,0.012332784263058671
1.0,0,6,1.3637291288404958,19.21890631353236,15.409093163850109,-0.0009803983095124532,-0.00024673636708607313,-0.00012273070801158964,-0.008899982680950335,0.0013045932617427613,0.013251851793555461
-1.0,0,7,12.79667012265543,21.84051289260415,19.0658376410696,0.00042211885906027206,-0.0002248237667301521,0.00023468040732998397,-0.013432301147192842,-0.0072673316773313595,-0.013305607314839707
1.0,0,8,14.547206152547167,16.81932308116273,19.339747596941105,0.00017755480271403518,-0.0005443847052869326,-2.9025569447775074e-05,0.01800219032574607,-0.02479295027022932,0.0055016456646751755
-1.0,0,9,10.635217376564722,24.860786658130547,27.451452212802145,0.0001320583849257501,-8.77621146104779e-05,-0.00020570002069202984,-0.0037524299099624125,-0.00912255968712311,0.0037916876626431506
1.0,0,10,22.504646936104766,30.761823287146733,22.722183078807078,8.904174328601102e-05,1.3870446215445191e-05,-0.0004703159972691941,0.0017371017452431983,0.01097295571923751,-0.008075533947415003
-1.0,0,11,21.62629324103873,33.70767343444294,26.38186838488792,-0.00040458147131610316,0.00018682566127414119,-0.0004151857005560611,0.010761339851063256,0.005483377340221085,-0.006573181032420633
1.0,0,12,28.792098529770776,27.905257767254255,21.91818373241449,-0.00016114452319957674,0.00024599337987289276,6.230924143188805e-06,-0.004741487711163672,0.009206747064792409,-0.0040809248949460475
-1.0,0,13,30.37068780067976,32.41648977942302,23.78131436806574,-0.00019253363016950563,8.240296060653934e-06,-0.00020748820096698944,0.015041563110821164,0.005342806088336628,0.01567465744537521
1.0,0,14,33.41528475338865,28.572841504929656,16.06064490513923,0.00038687104392381695,0.00010909605633388329,-0.0001730083258812009,-0.01689759113199049,0.034394980050872825,0.004179637753676663
