iter,T
0,1399.9054113802351
1,1401.1444973078426
2,1402.4098185258754
3,1403.7008213481101
4,1405.0169161907381
5,1406.3574493085664
6,1407.7216680603638
7,1409.1088126713566
8,1410.5180429760546
9,1411.9483101775918
10,1413.3985068782836
11,1414.8674661232742
12,1416.3538343573093
13,1417.8562084729886
14,1419.3732623292292
15,1420.903817751753
16,1422.4466479113648
17,1424.0003182774465
18,1425.5633745138007
19,1427.1341169075733
