charge,iter,particle,x,y,z,vx,vy,vz,fx,fy,fz
1.0,0,0,19.858065432098186,19.66243923870736,19.883619882926755,0.0001731379078385614,6.751722960746704e-05,4.536643537030718e-05,0.003059944944914822,0.0023979353686482477,0.0016259028856311364
-1.0,0,1,23.72563577946718,23.558265705930754,23.56933272755721,0.0004739696164100523,-0.0006337645605713594,-6.697029900867248e-05,-0.00015763459366890942,-0.0009956125883994159,-0.0016607894441052137
1.0,0,2,27.490577427935065,19.771294033841446,19.69825144909521,7.614247314614698e-05,-0.00015935402297892324,-0.0001647794760620166,0.0008465571854403657,0.000854365517183292,-0.00046611550179221674
-1.0,0,3,31.63880516271529,23.66272663470977,23.5936249166134,0.00019423487573636572,0.00011490990604011352,-5.263672638275417e-05,0.00035675692073339205,-0.001112708258463449,0.0008684939186852439
1.0,0,4,35.497519422759495,19.857976329520387,19.75068232175627,0.00020985493375358147,-0.00028490461358246424,0.0001780673684554424,-0.0026392539915287678,-0.0023029989371902712,-0.0022479069003700936
-1.0,0,5,0.1408870288408664,23.78671476490883,23.75004141215609,0.0004684544852661748,7.314847044150412e-05,0.00018243330736361754,-0.0010580599514814736,0.0010835283840452976,0.00028351923662510783
1.0,0,6,3.984807649670027,19.575221051325997,19.84031519192532,-4.3943362199085803e-05,0.00031495560596610277,0.00016875627371574353,0.00036531220579735443,-0.0010899738175092237,0.0006788618348729236
-1.0,0,7,7.720205613989842,23.65702268226967,23.581335473359335,-0.0002873335467290703,-0.0003116643511609926,-0.0003521153536613085,0.0008345853074994691,-0.0002129008462126436,-0.0006913516573323619
1.0,0,8,11.997028783936724,19.814725178578552,19.588538757892834,-0.0004700987112012735,0.00011323007858689156,0.0004465281154704717,-0.0010227919984246991,-0.0009313460232970583,-0.000653512350102782
-1.0,0,9,15.985271606415123,23.702512672265286,23.586757809215495,0.0005323575421962845,1.715121054026902e-05,-6.964614841336836e-06,0.0004249016044899027,-0.00027104796025854624,-0.0019983678984402116
1.0,0,10,19.63291230132914,27.592825599860763,19.652132999619063,-0.0003981633327504202,0.00018029358462119828,-0.0006239928454705448,-0.002308982267242299,0.0009251930610883474,0.00047047319905668683
-1.0,0,11,23.58131019259724,31.691175444213357,23.79081891243847,0.0006355443065396324,0.00043539834186306616,3.803591069912508e-07,-0.0003964679174683246,0.0022475879554892664,-0.0009901424971396483
1.0,0,12,27.52092446925135,27.661346531214726,19.581139779664078,0.0005135318783623021,-0.00035709324338466713,0.0003861388665929239,0.001413614968210377,-0.0030704053391393815,0.0003083577818617112
