iter,K,V_notelec
0,1.67745234793452,3.9464251107839816
1,1.678869014909041,3.9451622404780444
2,1.6803157745232338,3.9438559539614793
3,1.6817920745655441,3.942506736722874
4,1.68329733382527,3.941115179818215
5,1.6848308948139634,3.939681982043151
6,1.686392179347747,3.9382079507041516
7,1.6879804694903346,3.9366940072596925
8,1.6895947719662558,3.9351411887696046
9,1.6912340372802015,3.933550642599857
10,1.6928969219617327,3.9319236235395993
11,1.694582023576552,3.930261493402961
12,1.6962880251028483,3.9285657191571772
13,1.698013410694621,3.9268378709025353
14,1.6997568121416886,3.9250796182186356
15,1.7015169626558266,3.9232927271648834
16,1.7032923297602975,3.9214790566495443
17,1.7050813159287275,3.9196405517817188
18,1.7068822310806235,3.9177792422907673
19,1.7086931715155522,3.915897236759807
20,1.7105121137627648,3.9139967156232496
21,1.7123369945716838,3.9120799255304766
22,1.714165785187397,3.9101491769996475
23,1.7159962915354148,3.9082068346662373
24,1.7178262051275737,3.906255311239947
25,1.7196532194197616,3.904297062070785
26,1.7214750362867834,3.9023345760567962
27,1.7232893871176405,3.900370367616891
28,1.7250940556406993,3.898406966233123
29,1.726887022006005,3.896446915154849
30,1.728666201297912,3.8944927706245602
31,1.7304291939866705,3.8925470833153017
32,1.732173674008314,3.890612387998573
33,1.733897557022034,3.88869119737971
34,1.7355987593383826,3.8867859944074543
35,1.7372751785538028,3.884899224610234
36,1.738924814604245,3.8830332880134915
37,1.7405459125872804,3.881190533272015
38,1.7421367393744387,3.8793732540285646
39,1.7436954021822608,3.877583679236317
40,1.7452201706366917,3.875823963544393
41,1.7467094726295262,3.8740961842897916
42,1.7481617198569595,3.872402332832167
43,1.7495754373682424,3.8707443064804212
44,1.7509493230531072,3.869123902447132
45,1.7522821486975568,3.867542814234105
46,1.7535726568435965,3.8660026270779744
47,1.7548197213363874,3.8645048094082095
48,1.7560227052276727,3.8630507107917245
49,1.7571811637460082,3.861641561115362
50,1.7582945340826994,3.860278467421572
51,1.75936230934031,3.8589624175141464
52,1.7603840338378312,3.857694266005319
53,1.7613592319569955,3.856474735981302
54,1.7622869911674761,3.85530441865201
55,1.7631664206319624,3.85418376873187
56,1.763997175556337,3.853113103340507
57,1.764779082484393,3.85209260605551
58,1.7655119946712263,3.851122326523638
59,1.7661957847721872,3.8502021797748855
60,1.7668305358206935,3.8493319555385326
61,1.767416695627104,3.8485113079189732
62,1.767954701831932,3.847739758324999
63,1.7684449049513054,3.847016697230028
64,1.768887928134488,3.8463413872441774
65,1.7692846231820056,3.84571296496026
66,1.7696357802437097,3.845130444615085
67,1.7699419797299079,3.8445927194523373
68,1.7702041609465564,3.84409856756437
69,1.7704235317869699,3.8436466567893066
70,1.7706012490535223,3.843235546695258
71,1.7707386716289903,3.8428637004547217
72,1.7708371985193025,3.8425294898581375
73,1.7708985058194315,3.8422311977476182
74,1.770924589413528,3.841967030932768
75,1.7709173316705966,3.8417351236484754
76,1.7708785145900174,3.841533540223441
77,1.7708098985692284,3.841360284767157
78,1.7707132192666284,3.841213304505869
79,1.7705903102187461,3.8410904975965883
80,1.7704430761683334,3.8409897171304137
81,1.770273494927788,3.840908780095955
82,1.7700835319291304,3.8408454765264524
83,1.7698750667102092,3.8407975758548147
84,1.7696500538653768,3.8407628335300665
85,1.7694105169029102,3.840738999243416
86,1.769158570557076,3.840723825454493
87,1.7688963467201142,3.840715078536816
88,1.7686258497868825,3.840710546654324
89,1.7683491542222518,3.84070804436695
90,1.7680683409053406,3.8407054195081343
91,1.7677853357871742,3.8407005621846353
92,1.7675020066137244,3.8406914144879205
93,1.7672202641561818,3.840675974670806
94,1.7669420672686167,3.840652302775348
95,1.7666690860618521,3.84061852637942
96,1.7664029978248417,3.8405728495001568
97,1.7661455818394398,3.840513557336446
98,1.7658985045980835,3.840439020969801
99,1.7656632701119237,3.840347703490131
100,1.7654411707531679,3.8402381639818377
101,1.7652333148805526,3.84010906596981
102,1.765040656140327,3.839959178333887
103,1.764864375007795,3.839787379096882
104,1.764705587089209,3.8395926607664723
105,1.7645652972432515,3.839374133143445
106,1.7644442985307833,3.8391310221658608
107,1.7643430834826845,3.838862671804418
108,1.7642622645316917,3.8385685491031833
109,1.7642026638738784,3.838248252558164
110,1.7641652800703718,3.8379015111088575
111,1.7641507473010125,3.8375281660058547
112,1.7641594048568745,3.837128175073741
113,1.7641915008035995,3.836701617785509
114,1.764246865223317,3.836248688732305
115,1.7643252636801352,3.8357696916508437
116,1.764426612079766,3.835265045666304
117,1.7645506945386757,3.8347352828221806
118,1.7646970865564995,3.834181041598185
119,1.7648652548612147,3.833603059151224
120,1.7650547477191285,3.833002170172257
121,1.7652651071539904,3.8323793040191325
122,1.7654957768042223,3.8317354808825237
123,1.7657460865153372,3.8310718070155345
124,1.7660151385851826,3.8303894710280137
125,1.7663019937175155,3.8296897408907733
126,1.7666057936029336,3.828973954102764
127,1.7669257026015583,3.828243510647308
128,1.7672607854814602,3.827499865961329
129,1.7676100608127159,3.826744526257736
130,1.7679726006385503,3.825979041455455
131,1.7683474808023951,3.825205001370353
132,1.768733933501589,3.824424029430792
133,1.7691311981358913,3.8236377770948526
134,1.7695382495438825,3.822847917237982
135,1.7699540916304315,3.8220561374308653
136,1.7703777533874272,3.821264131043729
137,1.7708081122092434,3.8204735934962515
138,1.7712440154738103,3.819686214206332
139,1.771684286291974,3.8189036716999065
140,1.7721278259284434,3.818127635387703
141,1.772573571717995,3.817359756476994
142,1.7730204057536567,3.816601662019274
143,1.7734672352607688,3.815854951764295
144,1.7739129442125248,3.8151211943912395
145,1.7743562840151879,3.814401927567153
146,1.7747961236846967,3.8136986639002366
147,1.7752314911301155,3.813012872525162
148,1.7756612099208726,3.812345975080608
149,1.7760841844009607,3.811699341901739
150,1.7764996064756164,3.8110742896872263
151,1.7769067182656295,3.8104720816718096
152,1.7773046705195106,3.8098939445874627
153,1.777692594963551,3.809341050586629
154,1.7780697425583547,3.8088145143391032
155,1.7784355403452572,3.8083153933217155
156,1.7787894968865872,3.807844688483097
157,1.7791310337853659,3.807403341318626
158,1.7794595219933402,3.806992233451889
159,1.7797744024487065,3.8066121850925367
160,1.780075224025047,3.806263956348141
161,1.7803615549079241,3.8059482481911595
162,1.7806329568763004,3.805665699486263
163,1.7808891081115414,3.805416890757267
164,1.7811297150341887,3.80520234409304
165,1.781354425268776,3.8050225213551827
166,1.7815630439600305,3.8048778274493014
167,1.7817554511884255,3.804768614170974
168,1.7819314010473923,3.8046951800005
169,1.7820906803077123,3.804657769141498
170,1.7822331675795835,3.8046565747101466
171,1.782358783778121,3.8046917368626723
172,1.7824673279262637,3.8047633475073015
173,1.7825583858034777,3.8048714482888606
174,1.7826316388769035,3.8050160281833176
175,1.7826869444695288,3.805197032005086
176,1.7827241121274597,3.8054143645175293
177,1.7827430131804443,3.805667886301791
178,1.78274377726633,3.805957414567194
179,1.782726527192288,3.806282723268259
180,1.7826916095840717,3.80664354339983
181,1.7826393933349638,3.8070395672400426
182,1.7825700887179108,3.8074704475736216
183,1.7824839327070041,3.807935800114488
184,1.7823810321599696,3.808435201766867
185,1.7822615511651116,3.8089681856662527
186,1.782125776499548,3.8095342479550607
187,1.7819739752563148,3.810132841813608
188,1.7818062501149752,3.810763378848196
189,1.7816226898694036,3.8114252353465257
190,1.781423485872521,3.8121177518845353
191,1.7812089172492442,3.8128402328854603
192,1.7809791824502614,3.813591949508928
193,1.7807344055242302,3.8143721378401323
194,1.780475009822324,3.815179997281928
195,1.7802016043158448,3.816014691676399
196,1.7799144942823695,3.816875350013636
197,1.7796139609706196,3.817761064420531
198,1.7793003086448327,3.818670890440019
199,1.7789735560223086,3.8196038406066184
200,1.77863384641348,3.8205588959378876
201,1.7782816603282057,3.821534998528281
202,1.777917553878386,3.8225310517673114
203,1.7775420976841387,3.8235459214631033
204,1.7771558533594172,3.824578440898929
205,1.7767593980615919,3.8256274100285066
206,1.7763534410956394,3.8266915962231343
207,1.7759388382211099,3.827769733433893
208,1.77551635300095,3.828860526364924
209,1.775086650846956,3.8299626667438447
210,1.7746505452631212,3.8310748208519017
211,1.7742088113398553,3.8321956294544193
212,1.7737619767373813,3.833323709417744
213,1.773310583310195,3.834457657527462
214,1.7728553867137404,3.8355960511614904
215,1.772397240651529,3.8367374511658556
216,1.7719370622760895,3.837880403828714
217,1.7714757649925827,3.839023442935237
218,1.7710141962877142,3.8401650924006425
219,1.770553224025216,3.841303868285505
220,1.7700937272586692,3.842438283891335
221,1.7696365609432978,3.843566852182871
222,1.7691827242605183,3.8446880863601893
223,1.7687332231537274,3.8458005049379893
224,1.7682888394856953,3.8469026370022514
225,1.767850283652973,3.8479930256774004
226,1.7674183642997823,3.849070231647984
227,1.7669939139414585,3.850132833865191
228,1.766577852881562,3.8511794207147916
229,1.7661711500320527,3.8522086097849777
230,1.76577458023216,3.8532190492112472
231,1.7653888701268428,3.854209418824358
232,1.7650147578325528,3.855178438345938
233,1.7646527961748006,3.8561248698069845
234,1.7643035408619594,3.8570475187446345
235,1.7639677131352383,3.857945238711976
236,1.7636460987633655,3.8588169333292814
237,1.763339504414359,3.8596615607975764
238,1.7630486460341708,3.86047813993367
239,1.7627741716487633,3.861265751461477
240,1.7625168537558031,3.862023539622913
241,1.7622776801110143,3.862750718013862
242,1.7620575818640816,3.863446573520592
243,1.7618570439610592,3.8641104619504376
244,1.761676358996023,3.8647418159473403
245,1.7615159661498387,3.865340150801259
246,1.7613761383607223,3.865905055366268
247,1.761256978261584,3.866436197581007
248,1.761158596280178,3.8669333146854172
249,1.7610811990867816,3.8673962183607324
250,1.7610249737422716,3.867824792172135
251,1.7609898655283043,3.8682189979742283
252,1.7609756943606574,3.8685788710414326
253,1.7609819656512087,3.8689045217612046
254,1.761008046437761,3.86919613784946
255,1.7610535901790143,3.869453970379189
256,1.7611183370178967,3.869678328860275
257,1.7612019097920115,3.8698695851443743
258,1.7613038864588084,3.8700281730207444
259,1.7614238021398094,3.870154585393818
260,1.761561158719524,3.87024937143777
261,1.761715423868107,3.870313136154887
262,1.7618860256644717,3.8703465364599583
263,1.7620724245138844,3.8703502767082205
264,1.7622741537119302,3.8703251052546177
265,1.7624906694473501,3.8702718118811195
266,1.7627212910142576,3.870191223334236
267,1.7629653337494886,3.8700842015057355
268,1.7632220016414484,3.869951639352872
269,1.7634904590820997,3.8697944607082575
270,1.7637699714588455,3.869613614054212
271,1.7640598182845075,3.8694100691206046
272,1.7643591551501652,3.869184813853789
273,1.764666988582029,3.8689388490940897
274,1.7649823905146702,3.8686731851101395
275,1.765304561621025,3.8683888411860727
276,1.765632708752313,3.8680868432087956
277,1.7659662401766758,3.8677682193659146
278,1.7663047166557873,3.867433992304154
279,1.766647647752781,3.8670851783390834
280,1.766994587007541,3.866722788143782
281,1.7673449885898154,3.866347827495142
282,1.7676981978120225,3.8659613008506994
283,1.768053581865755,3.865564202081716
284,1.768410521631438,3.865157517089457
285,1.7687683861146473,3.8647422218415466
286,1.7691265284067628,3.864319276028609
287,1.7694842215581494,3.8638896233364246
288,1.769840983813189,3.86345419514282
289,1.7701963381845693,3.8630139057485513
290,1.7705493891480972,3.8625696536386895
291,1.7708993048492436,3.862122319563976
292,1.7712455226155384,3.8616727622627693
293,1.771587578520973,3.8612218197778976
294,1.7719249532941086,3.8607703084971434
295,1.772257062358725,3.860319022845458
296,1.772583460872829,3.859868736572465
297,1.7729039594532772,3.8594202028903415
298,1.773218279050559,3.8589741514686398
299,1.773526002367444,3.858531288938328
300,1.773826803046135,3.8580922994813385
301,1.7741204106110744,3.8576578468192597
302,1.77440648410364,3.8572285720168416
303,1.774684759981922,3.8568050918632077
304,1.7749551162209776,3.8563879976940973
305,1.77521746068735,3.855977859911206
306,1.775471723478059,3.8555752281678406
307,1.7757178009530896,3.8551806320522206
308,1.77595545637343,3.854794580679259
309,1.7761844249632393,3.854417563379915
310,1.7764046497166945,3.8540500519524046
311,1.7766160236183945,3.853692500443557
312,1.7768182797063679,3.8533453455360034
313,1.7770111379797373,3.8530090050783348
314,1.7771943832181936,3.852683876593992
315,1.7773680188702783,3.852370339777176
316,1.777532107735067,3.8520687598986574
317,1.7776865207382593,3.851779486056955
318,1.7778310650977414,3.851502854482794
319,1.7779656562246209,3.8512391876607843
320,1.7780903517825744,3.8509887976600874
321,1.7782053339327566,3.8507519849510627
322,1.7783108999547674,3.850529042345676
323,1.7784071442030087,3.8503202569032506
324,1.77849393681648,3.8501259059405686
325,1.7785711587019475,3.8499462585979445
326,1.7786385874015154,3.849781575608546
327,1.7786958316259787,3.8496321096236414
328,1.7787423267706757,3.849498109494406
329,1.7787777895100583,3.849379820938955
330,1.7788023362262193,3.8492774871633615
331,1.778816017247919,3.849191348426572
332,1.7788187658875139,3.8491216378053013
333,1.778810566136587,3.849068581263252
334,1.7787913275341094,3.8490324022211504
335,1.7787609204246988,3.8490133205372197
336,1.7787193436042912,3.8490115545134227
337,1.7786665649977886,3.8490273181645973
338,1.7786025453516967,3.849060822564381
339,1.7785273787499896,3.8491122719722397
340,1.7784412574227955,3.849181863458894
341,1.7783442481117158,3.8492697869481165
342,1.7782362394932747,3.8493762290398212
343,1.7781171020474698,3.8495013716360553
344,1.777986641947368,3.8496453947683658
345,1.7778447556293577,3.8498084778395762
346,1.7776913877362561,3.8499907972630028
347,1.7775263699096937,3.850192525608769
348,1.777349641621245,3.85041383139585
349,1.7771614379780174,3.850654879229863
350,1.7769619878110594,3.8509158266406094
