charge,iter,particle,x,y,z,vx,vy,vz,fx,fy,fz
1,0,0,1.5562799313805502,1.5563416013150426,1.5506441512907967,0.0003224239477006102,0.0003273248216069816,5.171183924363437e-05,0.005633416894435639,-4.642789246650514e-05,5.873236784076363e-05
-1,0,1,5.428515277622338,1.5542861590570207,1.553243561817362,0.00024387601728371617,0.00022790182247143528,0.00017744691091819723,-0.005633414766929912,4.642855626835196e-05,-5.8732732416577615e-05
1,1,0,1.5596022897969402,1.5597245656794452,1.551178674219848,0.00032047752469031735,0.0003273127363668985,5.1727129904327944e-05,0.0056943354106855915,-6.959026735681162e-05,8.80472271937438e-05
-1,1,1,5.43104582377669,1.5566416526880857,1.555077473248712,0.0002458224402884967,0.00022791390758682674,0.00017743161985487414,-0.005694337582894171,6.958859234434955e-05,-8.805012781981647e-05
1,2,0,1.5629044218774288,1.5631073803307947,1.5517133865852628,0.0003185105094627471,0.00032729586437664986,5.174848164426352e-05,0.005752443230788384,-9.271055474868728e-05,0.00011732466836472666
-1,2,1,5.433596596261405,1.5589972960279344,1.5569111952363053,0.0002477894557519521,0.0002279307797315231,0.00017741026800570018,-0.005752439145623844,9.271348228495624e-05,-0.00011732265362862648
1,3,0,1.5661861207383794,1.5664899959395733,1.55224835086944,0.0003165240529604224,0.00032727423204238814,5.177586324139035e-05,0.005807641378946765,-0.00011579275960771351,0.0001465557564340747
-1,3,1,5.4361678019760715,1.5613531384178159,1.5587446653102712,0.00024977591322895983,0.00022795241269081115,0.00017738288719755402,-0.005807637559732015,0.00011579490084315247,-0.00014655137277932995
1,4,0,1.5694471913989296,1.5698723634357195,1.5527836292312696,0.0003145193234256515,0.0003272478682467218,5.180923952416327e-05,0.00585996523313953,-0.0001387995601682679,0.00017570066002076112
-1,4,1,5.4387596359008725,1.5637092289257877,1.5605778213177586,0.00025178064330453877,0.00022797877680105305,0.00017734951180486857,-0.00585996466656713,0.00013879997004412337,-0.00017569782533943812
1,5,0,1.5726874511238136,1.5732544340867385,1.5533192834261302,0.00031249750044965363,0.0003272168007882811,5.184857625222421e-05,0.005909279073168822,-0.00016176360681975643,0.00020478973555121405
-1,5,1,5.441372280762784,1.5660656162799311,1.5624106014994399,0.00025380246536061926,0.0002280098432742526,0.00017731017510409,-0.005909287099988614,0.00016175520694017287,-0.00020479234898093668
1,6,0,1.5759067293151299,1.5766361593971856,1.55385537490514,0.00031045978214897787,0.00032718105729833894,5.18938420676147e-05,0.0059556882395429694,-0.0001846399369632018,0.00023379871284656684
-1,6,1,5.444005907137804,1.5684223489532363,1.5642429443903108,0.0002558401820830032,0.00022804558521865515,0.00017726490866985082,-0.005955693012184682,0.00018463580299096782,-0.00023380111808965487
1,7,0,1.5791048680035038,1.5800174912057237,1.5543919647754874,0.00030840736348522555,0.0003271406663909249,5.1945007171870965e-05,0.00599889324493117,-0.00020745168855385888,0.0002627469850545114
-1,7,1,5.446660673003601,1.5707794751179134,1.5660747888837134,0.0002578926001146164,0.0002280859756082295,0.00017721374333050903,-0.005998893598743615,0.00020745162300495057,-0.000262746486282911
1,8,0,1.5822817212917109,1.5833983816083794,1.5549291138723356,0.0003063416313349974,0.00032709563868516477,5.2002075525719096e-05,0.006040593557048371,-0.0002303076388482803,0.0002918712045280316
-1,8,1,5.4493367242686634,1.5731370426883058,1.5679060741518867,0.0002599583321572161,0.0002281310033081489,0.00017715667500384558,-0.006040594076069272,0.00023030765703085931,-0.00029187148284015585
1,9,0,1.5854371598780683,1.5867787826633204,1.5554668833847438,0.000304264117514366,0.00032704595151293174,5.206506947540808e-05,0.006080122531327567,-0.00025335480331863575,0.0003210659104399711
