iter,time,n_iters
0,1.4949724674224854,280
1,1.4834091663360596,280
2,1.4315128326416016,270
3,1.4340453147888184,270
4,1.4322237968444824,270
5,1.4247539043426514,269
6,1.4584379196166992,274
7,1.4677135944366455,275
8,1.4435577392578125,274
9,1.4481089115142822,273
10,1.447375774383545,273
11,1.4514105319976807,274
12,1.4432730674743652,274
13,1.4509625434875488,274
14,1.443497657775879,272
15,1.4458074569702148,274
16,1.4304108619689941,271
17,1.4148774147033691,268
18,1.4242873191833496,270
19,1.40156888961792,272
20,1.3953649997711182,273
21,1.4190001487731934,273
22,1.4133188724517822,274
23,1.422057867050171,275
24,1.3842353820800781,269
25,1.4008259773254395,272
26,1.4150381088256836,274
27,1.4360191822052002,275
28,1.4270820617675781,273
29,1.3954555988311768,266
30,1.4098384380340576,267
31,1.426365613937378,271
32,1.435338020324707,270
33,1.4312658309936523,272
34,1.3971869945526123,273
35,1.4028527736663818,273
36,1.3982386589050293,271
37,1.4098269939422607,272
38,1.411698341369629,270
39,1.3979957103729248,270
40,1.42315673828125,274
41,1.435595989227295,276
42,1.4222116470336914,274
43,1.4362852573394775,275
44,1.4225513935089111,273
45,1.4108171463012695,275
46,1.3596601486206055,272
47,1.3783602714538574,269
48,1.3625218868255615,264
49,1.4094998836517334,272
50,1.407825231552124,274
51,1.4315485954284668,274
52,1.3893592357635498,272
53,1.3997602462768555,270
54,1.3977110385894775,272
55,1.394228219985962,273
56,1.385202407836914,270
57,1.4144928455352783,271
58,1.4039294719696045,271
59,1.4202678203582764,273
60,1.4247410297393799,272
61,1.431401252746582,273
62,1.4389307498931885,274
63,1.440828800201416,273
64,1.4251294136047363,273
65,1.4356303215026855,276
66,1.4325664043426514,275
67,1.401036024093628,269
68,1.4351105690002441,275
69,1.3999850749969482,275
70,1.3884680271148682,273
71,1.393111228942871,274
72,1.4017908573150635,276
73,1.4223299026489258,277
74,1.3948965072631836,276
75,1.3846678733825684,273
76,1.3886239528656006,275
77,1.4083144664764404,276
78,1.400209665298462,276
79,1.3589107990264893,271
80,1.371546745300293,271
81,1.363245964050293,264
82,1.3691027164459229,268
83,1.7009730339050293,272
84,1.4244842529296875,271
85,1.459458589553833,271
86,1.4550881385803223,272
87,1.4901914596557617,268
88,1.520212173461914,272
89,1.4885900020599365,274
90,1.5112345218658447,275
91,1.543238639831543,271
92,1.4331715106964111,269
93,1.4240212440490723,271
94,1.2644762992858887,272
95,1.0011003017425537,268
96,1.038588523864746,273
97,1.0334279537200928,274
98,1.0564615726470947,271
99,1.0761051177978516,268
100,0.9854497909545898,271
101,0.942718505859375,265
102,0.9708788394927979,269
103,1.5038504600524902,268
104,1.0640411376953125,272
105,1.2634246349334717,271
106,1.2568693161010742,271
107,1.0185904502868652,273
108,1.0400207042694092,273
109,1.029475212097168,274
110,1.0580792427062988,274
111,1.0395450592041016,273
112,1.0626370906829834,270
113,1.0444002151489258,272
114,1.0386443138122559,275
115,1.0294146537780762,273
116,1.0631535053253174,273
117,1.0317182540893555,270
118,1.0182082653045654,271
119,0.9950120449066162,271
120,1.009596347808838,270
121,1.0143895149230957,269
122,1.0187492370605469,271
123,1.0159368515014648,274
124,1.0350396633148193,273
125,1.0351378917694092,274
126,1.0660607814788818,277
127,1.034663438796997,276
128,1.035670280456543,274
129,1.020080327987671,273
130,1.0320243835449219,275
131,1.0009572505950928,272
132,1.0616943836212158,276
133,1.057286024093628,275
134,1.0690109729766846,274
135,1.0287420749664307,269
136,1.055856466293335,273
137,1.0272917747497559,271
138,1.0610175132751465,275
139,1.0408375263214111,274
140,1.0387520790100098,272
141,1.004143238067627,271
142,1.0243308544158936,267
143,0.9952034950256348,273
144,1.0306565761566162,273
145,1.0028743743896484,268
146,1.0283913612365723,272
147,1.0125033855438232,274
148,1.0360329151153564,275
149,1.0314576625823975,275
150,1.0742228031158447,275
151,1.021268606185913,274
152,1.0402252674102783,273
153,1.0258994102478027,273
154,1.0255680084228516,273
155,0.9878907203674316,268
156,1.0172698497772217,272
157,1.0100901126861572,271
158,1.0253877639770508,273
159,1.0037007331848145,270
160,1.0101683139801025,271
161,1.0036571025848389,271
162,0.988889217376709,264
163,1.0199754238128662,268
164,1.017430305480957,272
165,1.016695499420166,276
166,1.0154671669006348,269
167,0.9834978580474854,268
168,1.046025037765503,273
169,1.0395469665527344,275
170,1.0171949863433838,273
171,1.0059187412261963,270
172,1.0203242301940918,272
173,0.977851152420044,270
174,1.0145583152770996,271
175,1.008406639099121,273
176,1.2914953231811523,272
177,1.4636147022247314,276
178,1.05440092086792,276
179,0.9802002906799316,270
180,1.0231571197509766,272
181,1.0059103965759277,268
182,1.006178855895996,266
183,1.0098824501037598,274
184,1.0442712306976318,273
185,1.003730058670044,277
186,1.0339272022247314,275
187,1.0185110569000244,271
188,1.0534048080444336,275
189,1.0549232959747314,273
190,1.1284527778625488,273
191,1.0797550678253174,273
192,1.097653865814209,273
193,1.0566494464874268,272
194,1.0531015396118164,272
195,1.0294451713562012,272
196,1.0304510593414307,273
197,0.9950733184814453,272
198,1.0038683414459229,270
199,1.0557410717010498,270
