iter,K,V_notelec
0,0.007473809234161811,0.0005101351614701377
1,0.007467429846860087,0.000520845187211294
2,0.0074612551389919846,0.0005311043203303223
3,0.007455298853743519,0.0005408897458275552
4,0.007449574120498922,0.0005501796884955779
5,0.00744409340161436,0.000558953473536794
6,0.007438868521759267,0.0005671915723574061
7,0.007433910579811536,0.0005748756618897399
8,0.007429229994299073,0.0005819886523306117
9,0.007424836305698758,0.0005885148587261302
10,0.007420737749869942,0.0005944399964765146
11,0.007416941524385561,0.0005997511185080184
12,0.007413453994118137,0.0006044366178105109
13,0.007410281044916154,0.0006084861387407603
14,0.007407428025298771,0.000611890745199184
15,0.007404899541347728,0.0006146429436631462
16,0.007402699516983656,0.0006167366336026214
17,0.007400831087012962,0.0006181671195732985
18,0.007399296562519635,0.000618931194109329
19,0.0073980974027788434,0.0006190271460409513
