iter,T
0,1412.5319758616647
1,1413.724908348315
2,1414.943180938262
3,1416.186328630832
4,1417.4538620060382
5,1418.7452274127093
6,1420.0599379796613
7,1421.3973891544233
8,1422.7567445297097
9,1424.1371203572069
10,1425.537385341023
11,1426.9563585335789
12,1428.3929309105704
13,1429.8458260238474
14,1431.3138917449269
15,1432.7960613496916
16,1434.2910443857497
17,1435.7974956243756
18,1437.3139918998133
19,1438.8389301634058
20,1440.370606511527
21,1441.9072835431625
22,1443.4472529050545
23,1444.9886670333165
24,1446.5295820197657
25,1448.0680555932483
26,1449.6021525719195
27,1451.1299626269556
28,1452.6496195029256
29,1454.159422345169
30,1455.6576155091675
31,1457.1421784233673
32,1458.6111523795328
33,1460.0627822171982
34,1461.4953133243935
35,1462.9069753305569
36,1464.2960840421413
37,1465.6611617087958
38,1467.0007489153627
39,1468.3132518060386
40,1469.5972132850761
41,1470.8513095276212
42,1472.074203070995
43,1473.2646519037032
44,1474.421559558004
45,1475.5438917919719
46,1476.630589738197
47,1477.6807050956897
48,1478.6937015095568
49,1479.6692044511883
50,1480.6067399963786
51,1481.5058813021005
52,1482.3662446531362
53,1483.1874295457
54,1483.9686675655557
55,1484.7092085655026
56,1485.4087622048241
57,1486.0671824212814
58,1486.6843456454271
59,1487.2601446441722
60,1487.794649337454
61,1488.288236812853
62,1488.741275594233
63,1489.154060840644
64,1489.527117287262
65,1489.8611622095964
66,1490.1568609689778
67,1490.414702311403
68,1490.635477198061
69,1490.8202027594357
70,1490.969853103888
71,1491.0855725055717
72,1491.1685390251366
73,1491.220164051561
74,1491.2421282586229
75,1491.2360167324293
76,1491.203330040856
77,1491.1455505614329
78,1491.0641398396938
79,1490.9606418413923
80,1490.8366604928913
81,1490.6938612502934
82,1490.5338991445658
83,1490.358356877782
84,1490.168880354827
85,1489.9671735109348
86,1489.755017099975
87,1489.5342063240416
88,1489.3064290235206
89,1489.073432042653
90,1488.8369676269133
91,1488.5986575615113
92,1488.3600746189422
93,1488.1228278019296
94,1487.8885666023473
95,1487.6586973700919
96,1487.4346324995513
97,1487.2178702702538
98,1487.0098139851657
99,1486.8117301266675
100,1486.6247069623744
101,1486.449677807716
102,1486.2874456994027
103,1486.1390046800518
104,1486.0052941680005
105,1485.8871603244074
106,1485.7852709618833
107,1485.7000408258045
108,1485.6319856272949
109,1485.5817977128356
110,1485.5503179406107
111,1485.5380803343126
112,1485.545370600712
113,1485.572397628394
114,1485.619018334653
115,1485.6850353081015
116,1485.7703777354773
117,1485.8748638277764
118,1485.9981361260584
119,1486.1397455780518
120,1486.2993117924536
121,1486.4764491212918
122,1486.6706890692788
123,1486.8814673195536
124,1487.108027944241
125,1487.3495799903285
126,1487.6054007013877
127,1487.8747864103061
128,1488.1569495865108
129,1488.4510637974956
130,1488.7563476388796
131,1489.072022906316
132,1489.3974430563683
133,1489.7319676105358
134,1490.0747333113402
135,1490.4249013771478
136,1490.7816541513434
137,1491.144046321623
138,1491.5111072997427
139,1491.8818460628822
140,1492.2553373992205
141,1492.6306864704595
142,1493.0069519208937
143,1493.3832135579719
144,1493.758531609216
145,1494.1318546715409
146,1494.5022303774128
147,1494.868840158406
148,1495.2306933778557
149,1495.5868674169194
150,1495.9366818033905
151,1496.2794983500735
152,1496.614601927928
153,1496.9412613898792
154,1497.2588459924668
155,1497.5668732644997
156,1497.8649293811523
157,1498.1525272917902
158,1498.4291372938742
159,1498.694288618337
160,1498.9476013852454
161,1499.188711976696
162,1499.417251379985
163,1499.6329486013583
164,1499.835556426415
165,1500.0247781304176
166,1500.2004496316206
167,1500.3624699494137
168,1500.510632013298
169,1500.6447562693877
170,1500.764740498997
171,1500.8705181071282
172,1500.9619198570701
173,1501.038596946216
174,1501.1002811476594
175,1501.1468523173996
176,1501.1781500799632
177,1501.1940660860125
178,1501.1947094996674
179,1501.1801837331386
180,1501.1507806695063
181,1501.1068109426676
182,1501.0484516171202
183,1500.9759022415926
184,1500.8892527977514
185,1500.788641459402
186,1500.6743097128958
187,1500.5464824692149
188,1500.4052461917195
189,1500.2506756510509
190,1500.0829319797253
191,1499.9022502204068
192,1499.7087974824312
193,1499.5026782234274
194,1499.2842489346335
195,1499.0540224124
196,1498.812255721754
197,1498.5591856937565
198,1498.2950685401306
199,1498.0199200221539
200,1497.7338608172115
201,1497.4372955481495
202,1497.1306925000092
203,1496.8145321747636
204,1496.489287490561
