iter,time,n_iters
0,2.6340200901031494,280
1,2.584261655807495,280
2,2.549581527709961,270
3,2.6178932189941406,270
4,2.610959529876709,270
5,2.5117616653442383,269
6,2.65154767036438,274
7,2.6661489009857178,275
8,2.565398693084717,274
9,2.5708673000335693,273
10,2.6258175373077393,273
11,2.6060192584991455,274
12,2.5358381271362305,274
13,2.638364315032959,274
14,2.6135945320129395,272
15,2.5722413063049316,274
16,2.63067889213562,271
17,2.6341917514801025,268
18,2.550933361053467,270
19,2.617278814315796,272
20,2.5898098945617676,273
21,2.6057302951812744,273
22,2.727832317352295,274
23,2.583631753921509,275
24,2.5752153396606445,269
25,2.5934438705444336,272
26,2.5697271823883057,274
27,2.5982861518859863,275
28,2.5755696296691895,273
29,2.5485141277313232,266
30,2.5463666915893555,267
31,2.6476852893829346,271
32,2.5825109481811523,270
33,2.589398145675659,272
34,2.6042797565460205,273
35,2.6059794425964355,273
36,2.6030735969543457,271
37,2.6371803283691406,272
38,2.5653369426727295,270
39,2.6111297607421875,270
40,2.6683120727539062,274
41,2.696737766265869,276
42,2.651615858078003,274
43,2.616102457046509,275
44,2.581549882888794,273
45,2.7339723110198975,275
46,2.6837985515594482,272
47,2.5547029972076416,269
48,2.608461856842041,264
49,2.7712361812591553,272
50,2.6154065132141113,274
51,2.665329694747925,274
52,2.6679251194000244,272
53,2.6008522510528564,270
54,2.594944953918457,272
55,2.6889965534210205,273
56,2.625441074371338,270
57,2.596562623977661,271
58,2.6096742153167725,271
59,2.675790786743164,273
60,2.576275587081909,272
61,2.6079490184783936,273
62,2.6577816009521484,274
63,2.59739089012146,273
64,2.5673444271087646,273
65,2.641096830368042,276
66,2.6582276821136475,275
67,2.523542881011963,269
68,2.605036735534668,275
69,2.640151262283325,275
70,2.5336570739746094,273
71,2.6770639419555664,274
72,2.759922742843628,276
73,2.8744800090789795,277
74,2.772995948791504,276
75,2.7287964820861816,273
76,2.844536304473877,275
77,2.759591817855835,276
78,2.735379457473755,276
79,2.794241428375244,271
80,2.7226831912994385,271
81,2.553579568862915,264
82,2.40258526802063,268
83,2.438777446746826,272
84,2.6248550415039062,271
85,2.6278581619262695,271
86,2.6102330684661865,272
87,2.630843162536621,268
88,2.6520981788635254,272
89,2.667768716812134,274
90,2.6836609840393066,275
91,2.668158531188965,271
92,2.623622179031372,269
93,2.670219898223877,271
94,2.6821846961975098,272
95,2.6645243167877197,268
96,2.7082250118255615,273
97,2.6899406909942627,274
98,2.700718402862549,271
99,2.6469788551330566,268
100,2.696061611175537,271
101,2.618445873260498,265
102,2.3807523250579834,269
103,2.390904188156128,268
104,2.3697986602783203,272
105,2.40334153175354,271
106,2.373836040496826,271
107,2.4178619384765625,273
108,2.451460123062134,273
109,2.4752144813537598,274
110,2.4937117099761963,274
111,2.475980281829834,273
112,2.429805278778076,270
113,2.4840047359466553,272
114,2.4991064071655273,275
115,2.4931154251098633,273
116,2.4706976413726807,273
117,2.4070024490356445,270
118,2.654690980911255,271
119,2.7495274543762207,271
120,2.7199244499206543,270
121,2.7280664443969727,269
122,2.737903356552124,271
123,2.7450568675994873,274
124,2.5454044342041016,273
125,2.466240882873535,274
126,2.4887237548828125,277
127,2.4414923191070557,276
128,2.4658265113830566,274
129,2.459329128265381,273
130,2.471945285797119,275
131,2.468309164047241,272
132,2.5166008472442627,276
133,2.500359058380127,275
134,2.4866809844970703,274
135,2.4493248462677,269
136,2.499598503112793,273
137,2.4620754718780518,271
138,2.488466739654541,275
139,2.542679786682129,274
140,2.485739231109619,272
141,2.452972650527954,271
142,2.4379923343658447,267
143,2.5140247344970703,273
144,2.4808905124664307,273
145,2.447896718978882,268
146,2.5051939487457275,272
147,2.498652219772339,274
148,2.4795711040496826,275
149,2.529031753540039,275
150,2.5347445011138916,275
151,2.526050329208374,274
152,2.511151075363159,273
153,2.4863107204437256,273
154,2.5170912742614746,273
155,2.489405632019043,268
156,2.513474225997925,272
157,2.4926772117614746,271
158,2.5016534328460693,273
159,2.4920504093170166,270
160,2.5063512325286865,271
161,2.4860386848449707,271
162,2.4527173042297363,264
163,2.497497320175171,268
164,2.5319833755493164,272
165,2.589514970779419,276
166,2.513794183731079,269
167,2.529893398284912,268
168,2.5403707027435303,273
169,2.5716702938079834,275
170,2.541494131088257,273
171,2.4963982105255127,270
172,2.513841390609741,272
173,2.4971330165863037,270
174,2.5059916973114014,271
175,2.558115243911743,273
176,2.505150318145752,272
177,2.5458459854125977,276
178,2.521597385406494,276
179,2.455500602722168,270
180,2.7210805416107178,272
181,2.776729106903076,268
182,2.717426061630249,266
183,2.7977237701416016,274
184,2.8287041187286377,273
185,2.850154399871826,277
186,2.822178840637207,275
187,2.773224353790283,271
188,2.6308376789093018,275
189,2.465297222137451,273
190,2.455313205718994,273
191,2.4631693363189697,273
192,2.4913556575775146,273
193,2.5098018646240234,272
194,2.5143980979919434,272
195,2.530107021331787,272
196,2.542942762374878,273
197,2.5168612003326416,272
198,2.5023415088653564,270
199,2.502725601196289,270
