charge,mass,radius,x,y,z,vx,vy,vz
1.0,22.99,1.0,9.229424078558374,11.579877849579134,9.48053830428942,-0.0002057429517264,0.000102656528036,0.0002267707924408
-1.0,35.453,1.0,13.205475455253973,13.93171553840994,12.252190700760321,0.000446114624169,-8.382394641017618e-05,-0.0002637109888746
1.0,22.99,1.0,13.713500131916943,10.885259540889669,10.345468034536076,2.6724630399592066e-05,-0.0003220825612031,-0.000184771278769
-1.0,35.453,1.0,17.611257416321273,13.631212648736538,11.425906913048165,0.0002311824775284,0.0002820971938313,5.273329427524771e-06
1.0,22.99,1.0,18.100139572408082,10.974130720031225,10.54537703553481,0.0003731013292509,-0.0002119220500167,0.0004725370271585
-1.0,35.453,1.0,1.7140130128487183,11.488356678736226,13.073908593039976,8.693762411496763e-05,4.127399009376653e-05,-9.353207271198514e-05
1.0,22.99,1.0,0.7322126301561662,10.173044840111338,8.155344344071041,-0.0009500461692277,-0.0002720928960969,-9.72994450901944e-05
-1.0,35.453,1.0,6.767193178420032,11.560052917269934,10.086450651704162,0.0004029949632848,-0.0002416447636584,0.0002692344206005
1.0,22.99,1.0,7.695870550723965,8.906527050243525,10.23429889485623,0.0002209001762441,-0.0005754310317463,2.502643116750464e-06
-1.0,35.453,1.0,5.626561334432757,13.1568152333949,14.528722053373723,0.0001153633912115,-0.0001048520276935,-0.0001671348321401
1.0,22.99,1.0,11.907791998878041,16.278458646981075,12.029050498270806,0.0001220007084868,-1.4397350867280005e-05,-0.0004417962174266
-1.0,35.453,1.0,11.448672982533816,17.835372954853472,13.965019778219906,-0.0004239454518925,0.000171477535834,-0.0003776483428332
1.0,22.99,1.0,15.237767979872487,14.764336362100805,11.598349689061934,-0.0001396573652135,0.0002093242854552,4.01049943985096e-05
-1.0,35.453,1.0,16.07369772126553,17.154064922634642,12.586606000144176,-0.0002137104609468,-7.735452933663712e-06,-0.0001721488182767
1.0,22.99,1.0,17.678210790675493,15.119030139065776,8.500745796466648,0.0004169182492408,8.590631553270496e-05,-0.0001594799086664
