charge,mass,x,y,z,vx,vy,vz
1.0,22.99,12.442432981803687,12.220212475614437,9.303729328982591,0.0002320463530217,-0.0004778356231899,-7.516247672700878e-05
-1.0,35.453,12.744447497153269,11.797750206882196,12.320124219636046,0.000128584798688,0.0006517405512357,1.0644151058919268e-05
1.0,22.99,15.329383978206597,10.309443597172873,10.218696801439616,0.0002640760250899,-0.0005355684932063,-9.195859484577888e-05
-1.0,35.453,14.552890851263422,12.838850157842185,9.06405383562607,4.9955203890798205e-05,0.0001685547067555,0.0002638493305652
1.0,22.99,20.25370011182145,11.544740793681548,9.658096066536201,0.0001701468274295,-0.0001264450393647,0.0007323560063907
-1.0,35.453,0.5320560677523295,9.729658142538495,13.822888066150737,0.0001348114652068,0.0003006017201193,-3.509279213430878e-05
1.0,22.99,2.9856878418668944,11.937035606981865,11.697518256843981,0.0002103250978482,0.0005442227305265,-0.0002060493458254
-1.0,35.453,2.869196783090237,12.941643523349931,14.026406510384733,8.389546239668386e-05,4.816330461999641e-05,5.7464689691653226e-05
1.0,22.99,7.037670465663095,10.44834432341749,9.753225247357474,-0.0001549828453034,0.0004298043174072,-0.0003658741386823
-1.0,35.453,5.982723331277673,13.994391422349612,12.635667541303755,8.077352094682868e-05,-0.000175911868619,-0.0002307023153124
1.0,22.99,9.408429892763548,14.203847479654065,10.49568706022466,-0.0003553509960459,0.0006106947265706,0.000535985323137
-1.0,35.453,13.548326732955074,16.122496966134253,13.571119793412251,-0.0001547331465091,-8.859090308133036e-05,0.0002406374866489
1.0,22.99,11.366382415054726,14.684742152660862,13.844159522124405,-8.128812900748503e-05,-0.0001205321661782,1.109897519979116e-06
-1.0,35.453,16.927025341802434,17.886242039030098,11.509991968576289,-0.0002202740240264,0.0003389313100048,-0.0001972677957224
1.0,22.99,18.06425556134329,15.576560719952834,13.098648715275408,0.000429012304305,-0.0003774907130616,-3.955473601612472e-05
-1.0,35.453,0.46533428379625713,14.684636510304326,13.325073459278128,0.0001915037806435,-5.441789162464696e-05,-0.0003437557087953
1.0,22.99,1.7883223719433816,15.00585541400429,8.484861554916387,-2.6215517616985344e-05,-0.0004453443184274,-0.0002591469668146
-1.0,35.453,5.292421029986089,17.008143688550913,11.65979659830161,-0.0004511644406703,0.0001034218573125,-0.0002359743852432
1.0,22.99,5.658278936163194,14.655044168668342,10.293439118994426,-0.0001777367411943,4.31875992547232e-05,0.0002501784410526
-1.0,35.453,8.935128998526391,15.813748102174,13.24996769563471,0.0001225295176518,0.0001929235393222,0.0003338883923803
1.0,22.99,10.415686548421569,20.10910611493178,10.479255891808894,-3.3828975489645714e-05,-0.0002130680544357,-0.0005547739282314
-1.0,35.453,14.359715157301245,0.5852635597363851,12.001290622303234,-0.0002479175944619,0.0001314918330648,-9.22521337989476e-05
1.0,22.99,13.800646193560526,17.916751631025836,10.871797525186487,0.0002070219350436,-2.175094837566489e-05,0.0003704557892243
-1.0,35.453,18.14368770653906,1.0598271342622154,13.085176231407793,0.0004171285762233,-0.0002506490619806,0.0004601280628882
1.0,22.99,19.613554806979085,18.99698054940537,10.481322327340184,-0.0002744626562599,0.0002627259728582,-0.0003240701263207
-1.0,35.453,1.3953257718210068,18.923495799276765,12.942281988455568,0.0001025072037085,0.0003682794733848,0.000199387299602
1.0,22.99,3.3753640718858735,19.166805657016003,10.543836171613888,-0.0003303528996505,6.875593953562068e-05,-8.869510968475609e-05
-1.0,35.453,4.810202713140674,0.6307323979519305,10.84198796863718,0.0002635312035557,0.0001831425771587,0.0001480457305767
1.0,22.99,7.9231300277801715,17.67116326429253,11.84622739660268,0.0006580719600936,-0.000786506164456,-0.0006412767667021
-1.0,35.453,9.578394716205239,20.1693622754534,13.244021213653829,-9.43319173226149e-05,-1.083378356267545e-06,-0.0002244772750758
